	learn:mm.csv check mm.csv:65:他辞职以后，前同事拿了1个亿的奖金     	 Result: 	0.1860033238650098 	352 	157



  	class: 慨叹  	d: 9  	pt: 0.6666666666666667  	diff:  感慨AB0.33333333333333337 感叹A0.3333333333333333
  	class: 涉及  	d: 14  	pt: 0.6363636363636364  	diff:  关系AB0.009090909090909038 干A0.2909090909090909 提到AB0.3181818181818182 涉及A0.01818181818181818
  	class: 问  	d: 10  	pt: 0.6356589147286822  	diff:  问AB0.3178294573643411 提问AB0.3178294573643411
  	class: 胡乱  	d: 7  	pt: 0.6000000000000001  	diff:  混A0.3 瞎AB0.30000000000000004
  	class: 埋怨  	d: 8  	pt: 0.6000000000000001  	diff:  抱怨AB0.30000000000000004 埋怨A0.3
  	class: 悲伤  	d: 22  	pt: 0.5714285714285714  	diff:  伤心A0.2857142857142857 悲伤AB0.2857142857142857
  	class: 工作  	d: 13  	pt: 0.5365853658536586  	diff:  事情AB0.2682926829268293 办事A0.024390243902439025 做事A0.14634146341463414 业务A0.04878048780487805 坐班A0.024390243902439025 干活A0.024390243902439025
  	class: 强大  	d: 27  	pt: 0.5333333333333333  	diff:  劲A0.06666666666666667 强大AB0.2666666666666667 精A0.13333333333333333 强硬A0.06666666666666667
  	class: 停止  	d: 26  	pt: 0.5  	diff:  住AB0.25 停A0.15 停止A0.1
  	class: 号码  	d: 3  	pt: 0.5  	diff:  号码AB0.25 码子A0.25
  	class: 积累  	d: 5  	pt: 0.5  	diff:  积累AB0.25 累积A0.25
  	class: 时机  	d: 6  	pt: 0.48648648648648646  	diff:  机会AB0.2432432432432432 机A0.13513513513513514 机遇A0.02702702702702703 时机A0.08108108108108109
  	class: 团体  	d: 6  	pt: 0.48  	diff:  团队AB0.24 组织A0.2 团伙A0.04
  	class: 连接  	d: 22  	pt: 0.4761904761904762  	diff:  接AB0.23809523809523814 衔接A0.09523809523809523 通A0.14285714285714285
  	class: 能力  	d: 3  	pt: 0.4615384615384615  	diff:  力A0.2 能力AB0.23076923076923073 力量A0.03076923076923077
  	class: 杰出  	d: 36  	pt: 0.4285714285714286  	diff:  典型A0.14285714285714285 超人AB0.2142857142857143 出众A0.07142857142857142
  	class: 学习  	d: 10  	pt: 0.4186046511627907  	diff:  学习AB0.2093023255813954 就学A0.023255813953488372 上学A0.16279069767441862 攻A0.023255813953488372
  	class: 零碎  	d: 12  	pt: 0.39999999999999997  	diff:  碎AB0.19999999999999996 碎片A0.2
  	class: 成为  	d: 8  	pt: 0.39999999999999997  	diff:  成AB0.19999999999999996 化A0.2
  	class: 不断  	d: 34  	pt: 0.39999999999999997  	diff:  不住AB0.19999999999999996 不休A0.2
  	class: 燃烧  	d: 6  	pt: 0.39999999999999997  	diff:  燃AB0.19999999999999996 燃烧A0.2
  	class: 圈套  	d: 4  	pt: 0.33333333333333326  	diff:  陷阱AB0.16666666666666663 骗局A0.16666666666666666
  	class: 签字  	d: 8  	pt: 0.33333333333333326  	diff:  签字A0.16666666666666666 签名AB0.16666666666666663
  	class: 超等  	d: 10  	pt: 0.33333333333333326  	diff:  顶尖AB0.16666666666666663 极品A0.16666666666666666
  	class: 建议  	d: 8  	pt: 0.31578947368421056  	diff:  建议AB0.1578947368421053 提案A0.05263157894736842 提议A0.10526315789473684
  	class: 提供  	d: 2  	pt: 0.28571428571428575  	diff:  提供AB0.1428571428571429 资A0.14285714285714285
  	class: 撑持  	d: 5  	pt: 0.28571428571428575  	diff:  支持AB0.1428571428571429 支撑A0.14285714285714285
  	class: 答  	d: 14  	pt: 0.2666666666666666  	diff:  回答AB0.1333333333333333 答对A0.03333333333333333 回应A0.06666666666666667 应对A0.03333333333333333
  	class: 聪明  	d: 25  	pt: 0.25  	diff:  灵气A0.125 聪明AB0.125
  	class: 一连  	d: 16  	pt: 0.25  	diff:  连续AB0.125 连接A0.125
  	class: 听见  	d: 4  	pt: 0.24999999999999997  	diff:  听到AB0.125 听见A0.08333333333333333 聪A0.041666666666666664
  	class: 身体  	d: 15  	pt: 0.22222222222222227  	diff:  身体AB0.11111111111111116 身子A0.05555555555555555 身躯A0.05555555555555555
  	class: 出租  	d: 4  	pt: 0.19999999999999998  	diff:  出租A0.1 租AB0.09999999999999998
  	class: 繁忙  	d: 26  	pt: 0.18181818181818188  	diff:  忙AB0.09090909090909094 日理万机A0.045454545454545456 忙碌A0.045454545454545456
  	class: 面子  	d: 5  	pt: 0.17777777777777778  	diff:  脸AB0.0888888888888889 颜A0.06666666666666667 面子A0.022222222222222223
  	class: 觉察  	d: 6  	pt: 0.1720430107526882  	diff:  发现AB0.08602150537634412 意识A0.06451612903225806 察觉A0.021505376344086023
  	class: 见识  	d: 10  	pt: 0.16666666666666669  	diff:  见识AB0.08333333333333337 见闻A0.08333333333333333
  	class: 悟出  	d: 5  	pt: 0.16666666666666669  	diff:  想到AB0.08333333333333337 想开A0.08333333333333333
  	class: 告诉  	d: 7  	pt: 0.16393442622950816  	diff:  告诉AB0.08196721311475408 报告A0.08196721311475409
  	class: 包括  	d: 9  	pt: 0.1538461538461538  	diff:  包括AB0.07692307692307687 概括A0.07692307692307693
  	class: 禁不住  	d: 10  	pt: 0.14285714285714282  	diff:  忍不住AB0.0714285714285714 撑不住A0.07142857142857142
  	class: 遗失  	d: 8  	pt: 0.1379310344827586  	diff:  掉AB0.051724137931034475 不见A0.06896551724137931 少AB0.017241379310344807
  	class: 情况  	d: 8  	pt: 0.125  	diff:  情况AB0.0625 图景A0.0625
  	class: 花费  	d: 5  	pt: 0.10714285714285716  	diff:  花AB0.0535714285714286 费A0.017857142857142856 花费A0.03571428571428571
  	class: 喜欢  	d: 10  	pt: 0.09580838323353298  	diff:  喜欢AB0.04790419161676651 喜A0.017964071856287425 喜好A0.011976047904191617 爱好A0.011976047904191617 欢喜A0.005988023952095809
  	class: 高等学校  	d: 3  	pt: 0.09523809523809529  	diff:  高校A0.047619047619047616 大学AB0.04761904761904767
  	class: 垮台  	d: 13  	pt: 0.08333333333333329  	diff:  崩溃AB0.04166666666666663 完蛋A0.041666666666666664
  	class: 买  	d: 19  	pt: 0.06106870229007638  	diff:  买AB0.03053435114503822 购买A0.015267175572519083 购A0.007633587786259542 采购A0.007633587786259542
  	class: 描写  	d: 12  	pt: 0.054054054054054  	diff:  写AB0.027027027027026973 形容A0.02702702702702703
  	class: 话  	d: 6  	pt: 0.03333333333333338  	diff:  话AB0.01666666666666672 话语A0.016666666666666666
  	class: 移动  	d: 12  	pt: 0.03333333333333338  	diff:  走AB0.01666666666666672 挪动A0.016666666666666666
  	class: 放任  	d: 9  	pt: 0.03278688524590166  	diff:  听AB0.016393442622950838 放任A0.01639344262295082
  	class: 商店  	d: 24  	pt: 0.024999999999999956  	diff:  公司AB0.012499999999999956 企业A0.0125
  	class: 老板  	d: 5  	pt: 0.02352941176470584  	diff:  老板AB0.0117647058823529 老板娘A0.011764705882352941
  	class: 母  	d: 10  	pt: 0.014598540145985392  	diff:  妈AB0.007299270072992692 母亲A0.0072992700729927005
  	class: 怀念  	d: 21  	pt: 0.010101010101010135  	diff:  想AB0.005050505050505083 纪念A0.0025252525252525255 想念A0.0025252525252525255
