	learn:mm.csv check mm.csv:24:那个产后抑郁的妈妈，现在月薪3万+！     	 Result: 	0.20626392345198274 	399 	175



  	class: 涉及  	d: 14  	pt: 0.9818181818181818  	diff:  关系AB0.49090909090909096 干A0.2909090909090909 提到A0.18181818181818182 涉及A0.01818181818181818
  	class: 担心  	d: 10  	pt: 0.9583333333333333  	diff:  担心AB0.4791666666666667 顾虑AB0.47916666666666663
  	class: 思考  	d: 20  	pt: 0.946808510638298  	diff:  想想AB0.13297872340425532 思维AB0.4734042553191489 思考A0.2765957446808511 心想A0.06382978723404255
  	class: 触  	d: 8  	pt: 0.9230769230769231  	diff:  接触AB0.46153846153846156 触A0.15384615384615385 碰A0.3076923076923077
  	class: 善于  	d: 10  	pt: 0.9090909090909092  	diff:  擅长AB0.4545454545454546 善于A0.2727272727272727 工A0.18181818181818182
  	class: 了解  	d: 29  	pt: 0.8888888888888888  	diff:  懂AB0.4444444444444444 理解A0.2962962962962963 懂得A0.1111111111111111 了了A0.037037037037037035
  	class: 尴尬  	d: 18  	pt: 0.875  	diff:  两难AB0.4375 尴尬AB0.25 为难A0.125 窘迫A0.0625
  	class: 父辈  	d: 10  	pt: 0.8235294117647058  	diff:  叔叔A0.17647058823529413 大爷AB0.4117647058823529 大叔A0.23529411764705882
  	class: 技术  	d: 8  	pt: 0.7999999999999999  	diff:  技能AB0.3 技术A0.4 技巧AB0.09999999999999998
  	class: 超越  	d: 9  	pt: 0.744186046511628  	diff:  超AB0.37209302325581395 跳A0.20930232558139536 超越A0.06976744186046512 跨越A0.023255813953488372 超过A0.06976744186046512
  	class: 正规  	d: 11  	pt: 0.7407407407407407  	diff:  专业AB0.37037037037037035 标准A0.3333333333333333 正规A0.037037037037037035
  	class: 知识  	d: 4  	pt: 0.7272727272727273  	diff:  知识AB0.36363636363636365 文化A0.09090909090909091 学识A0.2727272727272727
  	class: 骄傲  	d: 63  	pt: 0.6666666666666667  	diff:  骄傲AB0.33333333333333337 傲慢A0.3333333333333333
  	class: 相关  	d: 15  	pt: 0.6666666666666667  	diff:  相关AB0.33333333333333337 系A0.3333333333333333
  	class: 害怕  	d: 50  	pt: 0.6666666666666667  	diff:  害怕AB0.33333333333333337 生怕A0.05555555555555555 恐怖A0.2777777777777778
  	class: 病愈  	d: 8  	pt: 0.631578947368421  	diff:  治愈A0.3157894736842105 起床AB0.3157894736842105
  	class: 回报  	d: 4  	pt: 0.5714285714285714  	diff:  回报AB0.2857142857142857 报A0.2857142857142857
  	class: 相距  	d: 7  	pt: 0.5555555555555556  	diff:  离开AB0.2777777777777778 距离A0.2222222222222222 相差A0.05555555555555555
  	class: 关怀  	d: 10  	pt: 0.5333333333333333  	diff:  关注AB0.16666666666666663 关心AB0.26666666666666666 关爱A0.03333333333333333 体贴A0.06666666666666667
  	class: 开始  	d: 24  	pt: 0.5263157894736842  	diff:  开AB0.26315789473684215 开头A0.23684210526315788 初始A0.02631578947368421
  	class: 拖延  	d: 10  	pt: 0.5  	diff:  拖AB0.25 拖延A0.25
  	class: 愿望  	d: 5  	pt: 0.5  	diff:  意愿AB0.25 愿望A0.25
  	class: 长久  	d: 39  	pt: 0.5  	diff:  久AB0.25 漫长A0.25
  	class: 整理  	d: 10  	pt: 0.5  	diff:  整理AB0.25 整A0.25
  	class: 积累  	d: 5  	pt: 0.5  	diff:  积累AB0.25 累积A0.25
  	class: 趋势  	d: 13  	pt: 0.42857142857142855  	diff:  趋势AB0.2142857142857143 方向AB0.0714285714285714 动向A0.14285714285714285
  	class: 眷属  	d: 12  	pt: 0.42105263157894735  	diff:  家人AB0.21052631578947367 家属A0.21052631578947367
