learn:dsjwz.csv check jqzx.csv:86:入门 | 从PCC到MIC，一文教你如何计算变量之间的相关性 	 Result: 	0.1777786191557319 	793 	250
  	class: 下降  	d: 23  	pt: 1.2631578947368423  	diff:  下降A0.47368421052631576 降低AB0.631578947368421 下跌A0.06015037593984962 降A0.045112781954887216 暴跌A0.015037593984962405 退A0.007518796992481203 下滑A0.007518796992481203 跌A0.015037593984962405 降落A0.007518796992481203
  	class: 成为  	d: 8  	pt: 1.22  	diff:  化为A0.01 成A0.51 化AB0.61 变为A0.07 改为A0.02
  	class: 改换  	d: 12  	pt: 1.2115942028985505  	diff:  转换AB0.1623188405797102 转移A0.23478260869565218 更换A0.06086956521739131 变换AB0.6057971014492753 变A0.05217391304347826 移A0.017391304347826087 改换A0.017391304347826087 换A0.06086956521739131
  	class: 记得  	d: 3  	pt: 1.2105263157894737  	diff:  记得AB0.6052631578947368 记忆A0.6052631578947368
  	class: 比作  	d: 6  	pt: 1.2  	diff:  好比A0.6 比喻AB0.6
  	class: 告诉  	d: 7  	pt: 1.1538461538461537  	diff:  告诉AB0.5769230769230769 告知A0.03205128205128205 报告A0.5448717948717948
  	class: 撞  	d: 18  	pt: 1.125  	diff:  碰撞AB0.5625 撞击A0.0625 拍A0.3125 撞倒A0.125 相撞A0.0625
  	class: 相等  	d: 11  	pt: 1.12  	diff:  相当于A0.48 等于AB0.56 等价A0.08
  	class: 兴趣  	d: 4  	pt: 1.1150442477876106  	diff:  兴趣A0.5575221238938053 感兴趣AB0.5575221238938053
  	class: 证明  	d: 14  	pt: 1.0841121495327104  	diff:  证明AB0.1074766355140187 证实AB0.43457943925233644 验证A0.4392523364485981 认证A0.0794392523364486 作证A0.014018691588785047 求证A0.004672897196261682 证A0.004672897196261682
  	class: 著名  	d: 33  	pt: 1.0789473684210527  	diff:  资深A0.19736842105263158 名牌A0.02631578947368421 著名AB0.5394736842105263 闻名A0.06578947368421052 知名A0.17105263157894737 有名A0.05263157894736842 老牌A0.02631578947368421
  	class: 掉转  	d: 11  	pt: 1.076923076923077  	diff:  转过A0.07692307692307693 回AB0.5384615384615384 翻转A0.46153846153846156
  	class: 回忆  	d: 19  	pt: 1.05  	diff:  想起A0.15 回溯A0.05 回顾AB0.525 回忆A0.2 回想A0.125
  	class: 放大  	d: 8  	pt: 1.0188679245283019  	diff:  放大A0.32075471698113206 推广AB0.5094339622641509 加大A0.03773584905660377 放开A0.018867924528301886 放A0.1320754716981132
  	class: 涉及  	d: 14  	pt: 1.0164525580347081  	diff:  提到A0.2413793103448276 关系AB0.5082262790173541 涉及AB0.23236421005183683 关乎A0.01532567049808429 干A0.01532567049808429 事关A0.0038314176245210726
  	class: 颤动  	d: 10  	pt: 1.0  	diff:  震荡AB0.5 颠簸A0.5
  	class: 总结  	d: 3  	pt: 1.0  	diff:  下结论A0.5 小结AB0.5
  	class: 超过  	d: 10  	pt: 1.0  	diff:  高于AB0.5 超出A0.375 过量A0.041666666666666664 胜出A0.08333333333333333
  	class: 进行  	d: 6  	pt: 1.0  	diff:  展开A0.5 拓展AB0.5
  	class: 任意  	d: 17  	pt: 0.9999999999999999  	diff:  任意AB0.5 自由A0.3333333333333333 轻易A0.16666666666666666
  	class: 实行  	d: 11  	pt: 0.9950248756218905  	diff:  实践A0.31840796019900497 实施A0.14427860696517414 执行AB0.08706467661691542 行AB0.41044776119402987 施行A0.004975124378109453 履行A0.009950248756218905 实行A0.01990049751243781
  	class: 地点  	d: 2  	pt: 0.9705882352941178  	diff:  地址AB0.4852941176470589 地点A0.4852941176470588
  	class: 因素  	d: 3  	pt: 0.9421487603305785  	diff:  因素A0.4214876033057851 元素AB0.47107438016528924 要素A0.049586776859504134
  	class: 阐明  	d: 8  	pt: 0.9259259259259259  	diff:  发明A0.4351851851851852 表AB0.4629629629629629 阐明A0.027777777777777776
  	class: 结合  	d: 15  	pt: 0.9210526315789473  	diff:  整合A0.4342105263157895 组合AB0.4605263157894737 结成A0.02631578947368421
  	class: 工作  	d: 13  	pt: 0.9112903225806451  	diff:  事情AB0.4556451612903226 业务A0.4112903225806452 事务A0.028225806451612902 做事A0.012096774193548387 行事A0.004032258064516129
  	class: 给予  	d: 13  	pt: 0.896551724137931  	diff:  给予AB0.4482758620689655 赋予A0.2413793103448276 授予A0.1724137931034483 赋A0.034482758620689655
  	class: 噪音  	d: 2  	pt: 0.8888888888888888  	diff:  噪音A0.4444444444444444 噪声AB0.4444444444444444
  	class: 管保  	d: 16  	pt: 0.8837209302325582  	diff:  包AB0.2596899224806202 保证AB0.1821705426356589 确保A0.4263565891472868 担保A0.007751937984496124 承保A0.007751937984496124
  	class: 当做  	d: 9  	pt: 0.8658536585365855  	diff:  当做A0.17073170731707318 当作A0.14634146341463414 看作AB0.2804878048780488 看成A0.0975609756097561 看做AB0.1524390243902439 用作AB0.018292682926829285
  	class: 推测  	d: 16  	pt: 0.8461538461538463  	diff:  推断AB0.42307692307692313 推测A0.19230769230769232 想来A0.019230769230769232 推论A0.21153846153846154
  	class: 示范  	d: 8  	pt: 0.8444444444444446  	diff:  示例AB0.4222222222222223 演示A0.35555555555555557 示范A0.06666666666666667
  	class: 不可企及  	d: 7  	pt: 0.8421052631578947  	diff:  低于AB0.42105263157894735 小于A0.42105263157894735
  	class: 交  	d: 12  	pt: 0.8205128205128205  	diff:  给出AB0.41025641025641024 付出A0.06837606837606838 交给A0.02564102564102564 交付A0.042735042735042736 提交A0.27350427350427353
  	class: 顶用  	d: 19  	pt: 0.8073394495412844  	diff:  有用AB0.4036697247706422 有效性A0.07339449541284404 可行A0.1743119266055046 实用A0.14678899082568808 中用A0.009174311926605505
  	class: 倍增  	d: 7  	pt: 0.8  	diff:  乘以AB0.4 倍增A0.4
  	class: 胜于  	d: 13  	pt: 0.7986111111111113  	diff:  高AB0.3836805555555556 强AB0.3993055555555556 胜A0.005208333333333333 赛A0.005208333333333333 胜过A0.005208333333333333
  	class: 价值  	d: 2  	pt: 0.7767584097859328  	diff:  值AB0.3883792048929664 价值A0.38837920489296635
  	class: 共同  	d: 31  	pt: 0.7640449438202248  	diff:  联合AB0.3820224719101124 协办A0.02247191011235955 合伙A0.02247191011235955 协同A0.2696629213483146 合A0.02247191011235955 联手A0.02247191011235955 旅A0.011235955056179775 联机A0.011235955056179775
  	class: 针对  	d: 7  	pt: 0.7619047619047619  	diff:  针对性A0.38095238095238093 指向AB0.38095238095238093
  	class: 吸引  	d: 8  	pt: 0.7575757575757576  	diff:  引发A0.2727272727272727 掀起A0.045454545454545456 吸引AB0.3787878787878788 诱惑A0.015151515151515152 抓住A0.045454545454545456
  	class: 依靠  	d: 32  	pt: 0.7191011235955058  	diff:  借助A0.20224719101123595 依赖AB0.0941011235955056 指AB0.03792134831460675 仰A0.011235955056179775 负A0.10112359550561797 依赖性AB0.22752808988764045 借助于A0.02247191011235955 倚重A0.011235955056179775 仗A0.011235955056179775
  	class: 机智  	d: 31  	pt: 0.7142857142857142  	diff:  机智A0.07142857142857142 敏锐A0.14285714285714285 敏感AB0.3571428571428571 敏锐性A0.14285714285714285
  	class: 惊奇  	d: 20  	pt: 0.7142857142857142  	diff:  惊讶AB0.3571428571428571 好奇A0.21428571428571427 惊叹A0.07142857142857142 惊奇A0.03571428571428571 奇异A0.03571428571428571
  	class: 相距  	d: 7  	pt: 0.6966292134831459  	diff:  距离AB0.348314606741573 离开A0.24719101123595505 偏离A0.0449438202247191 相距A0.02247191011235955 相差A0.033707865168539325
  	class: 呈现  	d: 7  	pt: 0.6950354609929077  	diff:  表现AB0.34751773049645385 呈现A0.14893617021276595 展现A0.15602836879432624 变现A0.0425531914893617
