	learn:jqzx.csv check mm.csv:18:我用10件衣服，搞定整个夏天穿搭！     	 Result: 	0.25264220538803456 	343 	109



  	class: 坏  	d: 17  	pt: 2.0  	diff:  鬼A0.2 欠佳A0.2 不良A0.5 糟A0.1 潮B1.0
  	class: 玩具  	d: 4  	pt: 2.0  	diff:  玩具A1.0 玩意儿B1.0
  	class: 穿  	d: 9  	pt: 2.0  	diff:  穿戴A0.8 身穿A0.2 穿着B1.0
  	class: 遮挡  	d: 15  	pt: 2.0  	diff:  屏蔽A0.16176470588235295 遮挡A0.7352941176470589 遮掩A0.08823529411764706 遮蔽A0.014705882352941176 挡住B1.0
  	class: 曲牌  	d: 5  	pt: 2.0  	diff:  牌子A1.0 牌B1.0
  	class: 场所  	d: 7  	pt: 2.0  	diff:  场所A0.6666666666666666 处所A0.3333333333333333 场合B1.0
  	class: 讨厌  	d: 20  	pt: 2.0  	diff:  嫌A0.14285714285714285 厌恶A0.14285714285714285 讨厌A0.7142857142857143 腻B1.0
  	class: 风度  	d: 16  	pt: 2.0  	diff:  风范A0.5 风采A0.5 气质B1.0
  	class: 舒畅  	d: 26  	pt: 2.0  	diff:  舒服A0.5 舒适A0.5 清爽B1.0
  	class: 越过  	d: 4  	pt: 2.0  	diff:  穿越A0.3181818181818182 穿过A0.6818181818181818 穿B1.0
  	class: 拯救  	d: 19  	pt: 2.0  	diff:  拯救A0.5 解救A0.5 救救B1.0
  	class: 缺少  	d: 14  	pt: 1.9875  	diff:  缺乏A0.26875 缺失A0.21875 缺少A0.1 短A0.29375 短缺A0.00625 欠A0.09375 缺AB0.99375 紧缺A0.0125
  	class: 改换  	d: 12  	pt: 1.9770114942528736  	diff:  换AB0.9885057471264368 转移A0.14080459770114942 转换A0.46839080459770116 变换A0.28735632183908044 移A0.031609195402298854 变A0.05172413793103448 更换A0.008620689655172414
  	class: 辨别  	d: 13  	pt: 1.9766627771295213  	diff:  识别A0.7981330221703618 辨别A0.009334889148191364 分辨A0.024504084014002333 辨认A0.007001166861143524 判别A0.11318553092182031 鉴别A0.0338389731621937 可辨A0.002333722287047841 辨识AB0.9883313885647608
  	class: 遮盖  	d: 15  	pt: 1.9726027397260275  	diff:  幂A0.1917808219178082 覆盖A0.7534246575342466 掩A0.0136986301369863 埋A0.0136986301369863 掩盖A0.0136986301369863 遮住AB0.9863013698630136
  	class: 近似  	d: 17  	pt: 1.9638009049773755  	diff:  类似A0.4947209653092006 接近A0.22926093514328807 看似A0.02564102564102564 相近A0.042232277526395176 类A0.02564102564102564 近似A0.15987933634992457 相仿A0.004524886877828055 好像AB0.9819004524886877
  	class: 显示  	d: 12  	pt: 1.9633587786259543  	diff:  显示A0.20916030534351146 展示A0.7480916030534351 亮A0.004580152671755725 显得AB0.981679389312977 形A0.015267175572519083 示A0.004580152671755725
  	class: 增多  	d: 14  	pt: 1.955128205128205  	diff:  增加A0.9455128205128205 增多A0.022435897435897436 增A0.009615384615384616 搭AB0.9775641025641025
  	class: 技术  	d: 8  	pt: 1.9370172311348781  	diff:  技能A0.035650623885918005 技巧AB0.9685086155674391 技术A0.9298871063576946 技A0.0023767082590612004 术A0.0005941770647653001
  	class: 延长  	d: 4  	pt: 1.8947368421052633  	diff:  延伸A0.8421052631578947 拉开AB0.9473684210526316 延长A0.10526315789473684
  	class: 相遇  	d: 15  	pt: 1.888888888888889  	diff:  碰到A0.7222222222222222 碰见A0.05555555555555555 撞AB0.9444444444444444 遇见A0.1111111111111111 相遇A0.05555555555555555
  	class: 柔和  	d: 16  	pt: 1.8888888888888888  	diff:  文A0.9444444444444444 柔和AB0.9444444444444444
  	class: 停止  	d: 26  	pt: 1.8688524590163935  	diff:  停止A0.45901639344262296 终止A0.4262295081967213 停A0.03278688524590164 住AB0.9344262295081968 平息A0.01639344262295082
  	class: 走  	d: 9  	pt: 1.8333333333333333  	diff:  行走A0.75 行进A0.16666666666666666 走路AB0.9166666666666666
  	class: 绘画  	d: 17  	pt: 1.8275862068965514  	diff:  图案AB0.9137931034482758 画A0.7586206896551724 画画A0.05172413793103448 绘画A0.05172413793103448 描画A0.017241379310344827 画图A0.017241379310344827 图画A0.017241379310344827
  	class: 人格  	d: 5  	pt: 1.8181818181818181  	diff:  质地AB0.9090909090909091 品质A0.9090909090909091
  	class: 感谢  	d: 9  	pt: 1.8095238095238095  	diff:  感谢A0.8571428571428571 感AB0.9047619047619048 致谢A0.047619047619047616
  	class: 买  	d: 19  	pt: 1.7872340425531912  	diff:  市A0.06382978723404255 购买A0.6808510638297872 买AB0.8027079303675048 置A0.0425531914893617 采购A0.06382978723404255 买入A0.02127659574468085 购入A0.02127659574468085 购B0.09090909090909091
  	class: 注意  	d: 17  	pt: 1.726027397260274  	diff:  小心AB0.863013698630137 留意A0.0273972602739726 专注A0.7671232876712328 在意A0.0684931506849315
