	learn:mm.csv check mm.csv:23:大半夜，男友拿着菜刀，躲在我床下     	 Result: 	0.23157769941060627 	519 	225



  	class: 放大  	d: 8  	pt: 1.0909090909090908  	diff:  放大A0.3181818181818182 放AB0.5454545454545454 推广A0.18181818181818182 加大A0.045454545454545456
  	class: 标准  	d: 12  	pt: 1.0769230769230769  	diff:  条件A0.5384615384615384 原则AB0.5384615384615384
  	class: 讲话  	d: 18  	pt: 1.0666666666666667  	diff:  说话A0.3 讲AB0.5333333333333333 发话A0.016666666666666666 谈A0.16666666666666666 开口A0.03333333333333333 讲话A0.016666666666666666
  	class: 恋爱  	d: 5  	pt: 1.0476190476190477  	diff:  谈恋爱AB0.5238095238095238 恋爱A0.5238095238095238
  	class: 预兆  	d: 5  	pt: 1.0  	diff:  前兆AB0.5 征兆A0.5
  	class: 遭受  	d: 20  	pt: 1.0  	diff:  遭AB0.5 面临A0.5
  	class: 医治  	d: 10  	pt: 1.0  	diff:  治疗AB0.5 治A0.5
  	class: 良心  	d: 3  	pt: 1.0  	diff:  良知AB0.5 良心A0.5
  	class: 中心  	d: 11  	pt: 1.0  	diff:  核心A0.4 中心AB0.5 为重A0.1
  	class: 掐  	d: 4  	pt: 1.0  	diff:  掐AB0.5 捏A0.5
  	class: 敲打  	d: 13  	pt: 1.0  	diff:  打击AB0.5 敲门A0.5
  	class: 改名  	d: 6  	pt: 1.0  	diff:  化名AB0.5 改名A0.5
  	class: 发烧  	d: 5  	pt: 1.0  	diff:  烧AB0.5 发烧A0.5
  	class: 采集  	d: 18  	pt: 1.0  	diff:  收集A0.08823529411764706 征集A0.4117647058823529 采访AB0.5
  	class: 脱离  	d: 7  	pt: 1.0  	diff:  脱离AB0.5 退出A0.5
  	class: 吸引  	d: 8  	pt: 1.0  	diff:  引发A0.1 吸引A0.4 抓住AB0.5
  	class: 醒悟  	d: 16  	pt: 1.0  	diff:  醒悟AB0.5 觉悟A0.25 感悟A0.25
  	class: 屈服  	d: 12  	pt: 0.9999999999999999  	diff:  低头A0.3333333333333333 妥协AB0.5 让步A0.16666666666666666
  	class: 涉及  	d: 14  	pt: 0.9818181818181818  	diff:  关系AB0.49090909090909096 干A0.2909090909090909 提到A0.18181818181818182 涉及A0.01818181818181818
  	class: 喜欢  	d: 10  	pt: 0.9760479041916168  	diff:  喜欢AB0.4520958083832335 喜A0.017964071856287425 喜好AB0.4880239520958084 爱好A0.011976047904191617 欢喜A0.005988023952095809
  	class: 觉察  	d: 6  	pt: 0.956989247311828  	diff:  发现AB0.4139784946236559 意识A0.06451612903225806 察觉AB0.478494623655914
  	class: 拯救  	d: 19  	pt: 0.9523809523809523  	diff:  救救A0.23809523809523808 拯救AB0.47619047619047616 救A0.14285714285714285 抢救A0.047619047619047616 解救A0.047619047619047616
  	class: 劳驾  	d: 16  	pt: 0.9375  	diff:  累AB0.46875 烦A0.1875 辛苦A0.28125
  	class: 保护  	d: 7  	pt: 0.9333333333333333  	diff:  保护AB0.4666666666666667 维护A0.3333333333333333 掩护A0.13333333333333333
  	class: 触  	d: 8  	pt: 0.9230769230769231  	diff:  接触AB0.46153846153846156 触A0.15384615384615385 碰A0.3076923076923077
  	class: 讲课  	d: 13  	pt: 0.9230769230769231  	diff:  上课A0.38461538461538464 教授AB0.46153846153846156 教书A0.07692307692307693
  	class: 注意  	d: 17  	pt: 0.923076923076923  	diff:  小心AB0.46153846153846156 在意A0.19230769230769232 专注A0.23076923076923078 留意A0.038461538461538464
  	class: 摩擦  	d: 10  	pt: 0.8999999999999999  	diff:  错AB0.44999999999999996 擦A0.45
  	class: 不料  	d: 22  	pt: 0.875  	diff:  想得到A0.0625 奇怪AB0.4375 意外A0.3125 飞A0.0625
  	class: 评论  	d: 15  	pt: 0.875  	diff:  评论A0.4375 评价AB0.4375
  	class: 答应  	d: 10  	pt: 0.8666666666666667  	diff:  答应AB0.3666666666666667 承诺AB0.43333333333333335 应A0.06666666666666667
  	class: 希望  	d: 23  	pt: 0.8484848484848484  	diff:  梦想A0.21212121212121213 希望AB0.4242424242424242 期待A0.06060606060606061 期A0.030303030303030304 希A0.030303030303030304 仰望A0.030303030303030304 只求A0.015151515151515152 期望A0.030303030303030304 指望A0.015151515151515152
  	class: 挑选  	d: 26  	pt: 0.8484848484848484  	diff:  选项A0.030303030303030304 选A0.3484848484848485 选择AB0.4242424242424242 慎选A0.015151515151515152 挑选A0.030303030303030304
  	class: 女人  	d: 11  	pt: 0.8  	diff:  妇女A0.2 女子AB0.4 女士A0.2
  	class: 结束  	d: 38  	pt: 0.7901234567901234  	diff:  完AB0.3950617283950617 结束A0.14814814814814814 截止A0.09876543209876543 结A0.012345679012345678 收A0.12345679012345678 利落A0.012345679012345678
  	class: 谄媚  	d: 32  	pt: 0.7500000000000001  	diff:  买好AB0.33333333333333337 讨好AB0.041666666666666685 拍马屁A0.2916666666666667 取悦A0.08333333333333333
  	class: 改换  	d: 12  	pt: 0.736842105263158  	diff:  换A0.3684210526315789 变AB0.368421052631579
  	class: 放松  	d: 5  	pt: 0.7272727272727273  	diff:  放松AB0.36363636363636365 松A0.36363636363636365
  	class: 发生  	d: 8  	pt: 0.7200000000000001  	diff:  发生AB0.36 发出A0.2 闹A0.16
  	class: 路程  	d: 7  	pt: 0.7142857142857142  	diff:  路AB0.2857142857142857 程AB0.35714285714285715 路程A0.07142857142857142
  	class: 音信  	d: 7  	pt: 0.6956521739130435  	diff:  消息A0.34782608695652173 信息AB0.34782608695652173
  	class: 豆  	d: 5  	pt: 0.6666666666666667  	diff:  豆A0.3333333333333333 豆瓣AB0.33333333333333337
  	class: 躲藏  	d: 27  	pt: 0.6666666666666667  	diff:  隐形A0.3333333333333333 躲AB0.33333333333333337
  	class: 大蒜  	d: 5  	pt: 0.6666666666666667  	diff:  蒜A0.3333333333333333 大蒜AB0.33333333333333337
  	class: 接受  	d: 9  	pt: 0.6666666666666667  	diff:  接受AB0.33333333333333337 领A0.05555555555555555 承受A0.2777777777777778
  	class: 摄影  	d: 9  	pt: 0.6666666666666667  	diff:  拍照AB0.33333333333333337 摄影A0.24242424242424243 拍摄A0.09090909090909091
  	class: 弱小  	d: 15  	pt: 0.6666666666666667  	diff:  柔弱AB0.33333333333333337 弱小A0.3333333333333333
  	class: 固定  	d: 13  	pt: 0.6666666666666667  	diff:  固定A0.3333333333333333 稳住AB0.33333333333333337
  	class: 唤醒  	d: 6  	pt: 0.6666666666666667  	diff:  提醒AB0.33333333333333337 提示A0.3333333333333333
  	class: 判断  	d: 11  	pt: 0.6666666666666666  	diff:  判断AB0.33333333333333337 看清A0.16666666666666666 认清A0.16666666666666666
  	class: 人格  	d: 5  	pt: 0.6153846153846154  	diff:  品质A0.15384615384615385 质地A0.15384615384615385 人格AB0.1923076923076923 人品AB0.11538461538461536
  	class: 损坏  	d: 10  	pt: 0.6153846153846154  	diff:  摔AB0.3076923076923077 破坏A0.15384615384615385 毁掉A0.07692307692307693 损坏A0.07692307692307693
  	class: 有害  	d: 26  	pt: 0.5882352941176471  	diff:  害A0.11764705882352941 伤害AB0.1029411764705882 重伤AB0.19117647058823528 伤A0.17647058823529413
  	class: 姐  	d: 5  	pt: 0.5714285714285714  	diff:  姐姐AB0.2857142857142857 姐A0.2857142857142857
  	class: 辨别  	d: 13  	pt: 0.5714285714285714  	diff:  辨识A0.14285714285714285 辨别AB0.2142857142857143 识别AB0.07142857142857145 分辨A0.14285714285714285
  	class: 相距  	d: 7  	pt: 0.5555555555555556  	diff:  离开AB0.2777777777777778 距离A0.2222222222222222 相差A0.05555555555555555
  	class: 景象  	d: 10  	pt: 0.5454545454545455  	diff:  场景AB0.2727272727272727 情景A0.09090909090909091 现象A0.09090909090909091 状况A0.09090909090909091
  	class: 下线  	d: 2  	pt: 0.5454545454545454  	diff:  底线AB0.2727272727272727 下线A0.2727272727272727
  	class: 转车  	d: 14  	pt: 0.5454545454545454  	diff:  转发AB0.2727272727272727 转账A0.09090909090909091 转正A0.18181818181818182
  	class: 开始  	d: 24  	pt: 0.5263157894736842  	diff:  开AB0.23684210526315785 开头AB0.26315789473684215 初始A0.02631578947368421
  	class: 方法  	d: 11  	pt: 0.5  	diff:  方法AB0.2142857142857143 办法AB0.035714285714285726 方式AB0.2142857142857143 艺术A0.03571428571428571
  	class: 恰当  	d: 31  	pt: 0.49999999999999994  	diff:  合适AB0.25 得体A0.16666666666666666 妥A0.08333333333333333
  	class: 掉转  	d: 11  	pt: 0.48484848484848486  	diff:  回AB0.24242424242424243 转过A0.06060606060606061 扭曲A0.030303030303030304 转头A0.15151515151515152
  	class: 争吵  	d: 12  	pt: 0.4545454545454546  	diff:  吵架AB0.2272727272727273 吵A0.18181818181818182 抬杠A0.045454545454545456
  	class: 帮助  	d: 37  	pt: 0.44155844155844154  	diff:  帮AB0.22077922077922074 帮忙A0.15584415584415584 协助A0.025974025974025976 扶A0.025974025974025976 支援A0.012987012987012988
  	class: 眷属  	d: 12  	pt: 0.42105263157894735  	diff:  家人AB0.21052631578947367 家属A0.21052631578947367
  	class: 奸污  	d: 6  	pt: 0.39999999999999997  	diff:  强奸AB0.19999999999999996 奸A0.2
  	class: 含糊  	d: 8  	pt: 0.39999999999999997  	diff:  暧昧AB0.19999999999999996 不明A0.2
  	class: 应该  	d: 13  	pt: 0.39999999999999997  	diff:  活该AB0.19999999999999996 应有A0.2
  	class: 拒绝  	d: 11  	pt: 0.38095238095238093  	diff:  拒绝AB0.19047619047619047 不肯A0.19047619047619047
  	class: 职业  	d: 6  	pt: 0.3636363636363636  	diff:  职业AB0.18181818181818177 生意A0.18181818181818182
  	class: 脆弱  	d: 10  	pt: 0.3636363636363636  	diff:  软A0.18181818181818182 脆弱AB0.18181818181818177
  	class: 容纳  	d: 7  	pt: 0.33333333333333326  	diff:  容A0.16666666666666666 包容AB0.16666666666666663
  	class: 支配  	d: 9  	pt: 0.33333333333333326  	diff:  控制AB0.16666666666666663 操A0.16666666666666666
  	class: 呈现  	d: 7  	pt: 0.33333333333333326  	diff:  表现AB0.16666666666666663 展现A0.1111111111111111 呈现A0.05555555555555555
  	class: 慢  	d: 27  	pt: 0.33333333333333326  	diff:  款A0.16666666666666666 慢AB0.16666666666666663
  	class: 女朋友  	d: 2  	pt: 0.3265306122448979  	diff:  女朋友AB0.16326530612244894 女友A0.16326530612244897
  	class: 悲惨  	d: 13  	pt: 0.3076923076923077  	diff:  惨AB0.15384615384615385 无助A0.15384615384615385
  	class: 劝告  	d: 19  	pt: 0.28571428571428575  	diff:  劝AB0.1428571428571429 劝说A0.07142857142857142 告诫A0.07142857142857142
  	class: 砍  	d: 6  	pt: 0.28571428571428575  	diff:  剁A0.14285714285714285 砍AB0.1428571428571429
  	class: 男朋友  	d: 3  	pt: 0.253968253968254  	diff:  男友AB0.12698412698412703 男朋友AB0.12698412698412698
  	class: 听见  	d: 4  	pt: 0.24999999999999997  	diff:  听到AB0.125 听见A0.08333333333333333 聪A0.041666666666666664
  	class: 怀孕  	d: 8  	pt: 0.22222222222222227  	diff:  怀孕AB0.11111111111111116 怀胎A0.1111111111111111
  	class: 食物  	d: 2  	pt: 0.22222222222222227  	diff:  食物AB0.11111111111111116 食品A0.1111111111111111
  	class: 消息  	d: 6  	pt: 0.22222222222222227  	diff:  新闻AB0.11111111111111116 资讯A0.1111111111111111
  	class: 口  	d: 7  	pt: 0.18181818181818185  	diff:  嘴AB0.09090909090909094 嘴巴A0.09090909090909091
  	class: 寻找  	d: 23  	pt: 0.17307692307692313  	diff:  找AB0.08653846153846156 摸A0.038461538461538464 搜索A0.019230769230769232 寻找A0.028846153846153848
  	class: 反省  	d: 12  	pt: 0.16666666666666669  	diff:  反思AB0.08333333333333337 自问A0.08333333333333333
  	class: 告诉  	d: 7  	pt: 0.16393442622950816  	diff:  告诉AB0.08196721311475408 报告A0.08196721311475409
  	class: 包括  	d: 9  	pt: 0.1538461538461538  	diff:  包括AB0.07692307692307687 概括A0.07692307692307693
  	class: 情人  	d: 10  	pt: 0.13846153846153844  	diff:  朋友AB0.0692307692307692 恋人A0.015384615384615385 情侣A0.046153846153846156 爱人A0.007692307692307693
  	class: 结婚  	d: 11  	pt: 0.12903225806451618  	diff:  结婚AB0.06451612903225812 婚A0.06451612903225806
  	class: 情况  	d: 8  	pt: 0.125  	diff:  情况AB0.0625 图景A0.0625
  	class: 离别  	d: 12  	pt: 0.09615384615384616  	diff:  分手AB0.028846153846153855 分开AB0.04807692307692307 分离A0.019230769230769232
  	class: 逼近  	d: 8  	pt: 0.08163265306122452  	diff:  逼AB0.04081632653061229 薄A0.04081632653061224
  	class: 记得  	d: 3  	pt: 0.07407407407407413  	diff:  记得AB0.03703703703703709 记忆A0.037037037037037035
  	class: 夫  	d: 6  	pt: 0.07272727272727274  	diff:  男人AB0.036363636363636376 汉子A0.03636363636363636
  	class: 描写  	d: 12  	pt: 0.054054054054054  	diff:  写AB0.027027027027026973 形容A0.02702702702702703
  	class: 易于  	d: 6  	pt: 0.04800000000000002  	diff:  爱AB0.02400000000000002 轻A0.024
  	class: 放任  	d: 9  	pt: 0.03278688524590166  	diff:  听AB0.016393442622950838 放任A0.01639344262295082
  	class: 问  	d: 10  	pt: 0.031007751937984523  	diff:  问AB0.015503875968992276 提问A0.015503875968992248
