	learn:mm.csv check jqzx.csv:299:搞事！ICLR 2018七篇对抗样本防御论文被新研究攻破，Goodfellow论战     	 Result: 	0.34002398302417475 	322 	125



  	class: 技术  	d: 8  	pt: 1.2000000000000002  	diff:  技能A0.2 技术AB0.6 技巧A0.4
  	class: 包含  	d: 25  	pt: 1.1666666666666667  	diff:  涵盖A0.08333333333333333 含蓄A0.08333333333333333 含A0.16666666666666666 包含AB0.33333333333333337 暗含A0.08333333333333333 富含A0.08333333333333333 带有AB0.25 隐含A0.08333333333333333
  	class: 证明  	d: 14  	pt: 1.1428571428571428  	diff:  认证A0.21428571428571427 证明AB0.5714285714285714 求证A0.07142857142857142 证实A0.07142857142857142 验证A0.21428571428571427
  	class: 声称  	d: 6  	pt: 1.1428571428571428  	diff:  声明AB0.5714285714285714 宣称B0.14285714285714285 声称B0.42857142857142855
  	class: 遭受  	d: 20  	pt: 1.0  	diff:  遭AB0.5 面临A0.5
  	class: 阐明  	d: 8  	pt: 1.0  	diff:  发明A0.5 表AB0.5
  	class: 改换  	d: 12  	pt: 1.0  	diff:  换A0.3684210526315789 变AB0.13157894736842102 转换B0.5
  	class: 阻拦  	d: 23  	pt: 1.0  	diff:  阻止AB0.5 阻碍A0.25 拦A0.25
  	class: 概率  	d: 4  	pt: 1.0  	diff:  几率A0.5 概率AB0.5
  	class: 广泛  	d: 14  	pt: 1.0  	diff:  大面积A0.5 常见AB0.5
  	class: 调戏  	d: 3  	pt: 1.0  	diff:  调戏AB0.5 玩弄A0.5
  	class: 攻占  	d: 14  	pt: 1.0  	diff:  拿下A0.5 攻破AB0.0714285714285714 攻克B0.42857142857142855
  	class: 增强  	d: 9  	pt: 1.0  	diff:  提高AB0.5 增高A0.5
  	class: 定义  	d: 3  	pt: 0.9841269841269842  	diff:  概念AB0.4920634920634921 定义AB0.4920634920634921
  	class: 触  	d: 8  	pt: 0.9230769230769231  	diff:  接触AB0.46153846153846156 触A0.15384615384615385 碰A0.3076923076923077
  	class: 趋势  	d: 13  	pt: 0.8571428571428572  	diff:  趋势A0.2857142857142857 方向AB0.4285714285714286 动向A0.14285714285714285
