learn:dsjwz.csv check jqzx.csv:260:学界 | 谷歌大脑提出通过多文档摘要方法生成维基百科，可处理较长序列 	 Result: 	0.15057519531157454 	418 	127
  	class: 本来  	d: 12  	pt: 0.8285714285714285  	diff:  原始AB0.41428571428571426 原A0.15714285714285714 旧A0.05714285714285714 原有A0.07142857142857142 原本A0.12857142857142856
  	class: 显示  	d: 12  	pt: 0.8272251308900523  	diff:  显示A0.32460732984293195 展示AB0.4136125654450262 亮A0.010471204188481676 显得A0.05759162303664921 形A0.010471204188481676 著A0.005235602094240838 来得A0.005235602094240838
  	class: 交  	d: 12  	pt: 0.8205128205128205  	diff:  给出AB0.41025641025641024 付出A0.06837606837606838 交给A0.02564102564102564 交付A0.042735042735042736 提交A0.27350427350427353
  	class: 榜样  	d: 10  	pt: 0.7647058823529411  	diff:  指南AB0.38235294117647056 榜样A0.029411764705882353 典范A0.029411764705882353 样子A0.3235294117647059
  	class: 比重  	d: 5  	pt: 0.75  	diff:  百分比AB0.375 比例AB0.28125 比重A0.09375
  	class: 资料  	d: 5  	pt: 0.7228464419475656  	diff:  素材A0.21348314606741572 资料AB0.3614232209737828 材料AB0.14794007490636704
  	class: 扩大  	d: 8  	pt: 0.7027027027027026  	diff:  扩展AB0.3513513513513513 扩充A0.06756756756756757 扩张A0.2702702702702703 壮大A0.013513513513513514
  	class: 呈现  	d: 7  	pt: 0.7021276595744681  	diff:  表现AB0.15248226950354615 呈现AB0.35106382978723405 展现A0.15602836879432624 变现A0.0425531914893617
  	class: 数量  	d: 7  	pt: 0.6695255474452555  	diff:  数据AB0.3292883211678832 数量AB0.33476277372262775 数目A0.0036496350364963502 数码A0.0013686131386861315 数额A0.0004562043795620438
  	class: 添补  	d: 16  	pt: 0.6666666666666667  	diff:  续A0.030303030303030304 补充AB0.33333333333333337 互补A0.12121212121212122 添A0.030303030303030304 补A0.09090909090909091 填补A0.06060606060606061
  	class: 重叠  	d: 7  	pt: 0.6666666666666667  	diff:  层A0.3333333333333333 重叠AB0.33333333333333337
  	class: 寻找  	d: 23  	pt: 0.6666666666666666  	diff:  寻找A0.19642857142857142 找AB0.005952380952380959 搜索AB0.33333333333333337 探寻A0.005952380952380952 搜寻A0.01488095238095238 查找A0.10119047619047619 找寻A0.002976190476190476 摸索A0.002976190476190476 追寻A0.002976190476190476
  	class: 叙述  	d: 6  	pt: 0.6318840579710145  	diff:  讲述A0.11304347826086956 描述AB0.2028985507246377 叙述AB0.3159420289855072
  	class: 加以  	d: 2  	pt: 0.6037735849056605  	diff:  加A0.3018867924528302 给定AB0.30188679245283023
  	class: 开导  	d: 6  	pt: 0.6  	diff:  启发AB0.30000000000000004 诱发A0.2 启示A0.1
  	class: 支付  	d: 6  	pt: 0.5819209039548022  	diff:  支付A0.2598870056497175 开发AB0.29096045197740117 支出A0.01694915254237288 开支A0.00847457627118644 开销A0.005649717514124294
  	class: 取  	d: 4  	pt: 0.5277777777777778  	diff:  提A0.18055555555555555 提取AB0.26388888888888884 领取A0.041666666666666664 领到A0.041666666666666664
  	class: 对象  	d: 4  	pt: 0.5153846153846153  	diff:  对象A0.25769230769230766 目标AB0.25769230769230766
  	class: 挥笔  	d: 11  	pt: 0.4888888888888889  	diff:  书AB0.24444444444444446 题A0.13333333333333333 书写A0.1111111111111111
  	class: 宣布  	d: 11  	pt: 0.4745762711864406  	diff:  发布AB0.23728813559322037 公布A0.13983050847457626 揭示A0.029661016949152543 颁发A0.029661016949152543 颁布A0.00847457627118644 昭示A0.00847457627118644 宣告A0.012711864406779662 揭晓A0.00847457627118644
  	class: 请求  	d: 13  	pt: 0.4657534246575342  	diff:  请AB0.23287671232876717 呼吁A0.07534246575342465 请求A0.13013698630136986 求A0.0273972602739726
  	class: 消息  	d: 6  	pt: 0.41025641025641035  	diff:  新闻AB0.20512820512820518 情报A0.08974358974358974 讯息A0.01282051282051282 资讯A0.10256410256410256
  	class: 挑选  	d: 26  	pt: 0.4068965517241379  	diff:  选项A0.05517241379310345 选择AB0.20344827586206893 选A0.02413793103448276 抉择A0.027586206896551724 挑选A0.03103448275862069 选取A0.034482758620689655 增选A0.0034482758620689655 甄选A0.006896551724137931 取舍A0.020689655172413793
  	class: 觉察  	d: 6  	pt: 0.3951612903225807  	diff:  发现AB0.19758064516129037 意识A0.18548387096774194 察觉A0.008064516129032258 觉察A0.004032258064516129
  	class: 强大  	d: 27  	pt: 0.380952380952381  	diff:  强有力A0.05952380952380952 无敌A0.07142857142857142 强大AB0.19047619047619047 精A0.023809523809523808 强硬A0.023809523809523808 强劲A0.011904761904761904
  	class: 版本  	d: 2  	pt: 0.35616438356164387  	diff:  版本AB0.17808219178082196 版A0.1780821917808219
  	class: 记号  	d: 3  	pt: 0.35064935064935066  	diff:  标记AB0.17532467532467533 符号AB0.17532467532467533
  	class: 胜于  	d: 13  	pt: 0.34374999999999994  	diff:  高AB0.171875 强A0.15625 胜A0.005208333333333333 赛A0.005208333333333333 胜过A0.005208333333333333
  	class: 了解  	d: 29  	pt: 0.3306451612903225  	diff:  知情A0.016129032258064516 理解AB0.16532258064516125 懂得A0.028225806451612902 懂A0.08064516129032258 知晓A0.024193548387096774 了了A0.004032258064516129 知A0.008064516129032258 明A0.004032258064516129
  	class: 减少  	d: 22  	pt: 0.3199999999999999  	diff:  减少AB0.07999999999999996 压缩AB0.15999999999999998 减小A0.03 削减A0.04 缩减A0.01
  	class: 标注  	d: 4  	pt: 0.3076923076923077  	diff:  标注AB0.15384615384615385 标出A0.11538461538461539 标A0.038461538461538464
  	class: 结构  	d: 2  	pt: 0.3015873015873016  	diff:  结构AB0.1507936507936508 构造A0.15079365079365079
  	class: 行列  	d: 3  	pt: 0.273972602739726  	diff:  序列AB0.136986301369863 队列A0.0958904109589041 行列A0.0410958904109589
  	class: 音信  	d: 7  	pt: 0.24598930481283426  	diff:  信息AB0.12299465240641716 消息A0.12299465240641712
  	class: 技术  	d: 8  	pt: 0.23750000000000004  	diff:  技能A0.0825 技术AB0.11875000000000002 技巧A0.03125 艺A0.005
  	class: 辨别  	d: 13  	pt: 0.21951219512195122  	diff:  识别AB0.1097560975609756 分辨A0.032520325203252036 鉴别A0.012195121951219513 判别A0.02032520325203252 辨别A0.02032520325203252 辨识A0.016260162601626018 辨认A0.008130081300813009
  	class: 参阅  	d: 4  	pt: 0.2068965517241379  	diff:  参考AB0.10344827586206895 参照A0.06896551724137931 参阅A0.034482758620689655
  	class: 方法  	d: 11  	pt: 0.1898016997167139  	diff:  办法A0.03824362606232295 方法AB0.006515580736543902 方式AB0.08838526912181305 艺术A0.021246458923512748 措施A0.03541076487252125
  	class: 简短  	d: 10  	pt: 0.1538461538461538  	diff:  简洁AB0.07692307692307687 精简A0.07692307692307693
  	class: 高度  	d: 8  	pt: 0.14285714285714282  	diff:  高度AB0.0714285714285714 可观A0.07142857142857142
  	class: 复杂  	d: 20  	pt: 0.11764705882352942  	diff:  复杂性AB0.05882352941176472 繁复A0.058823529411764705
  	class: 少  	d: 23  	pt: 0.10714285714285718  	diff:  有限AB0.0535714285714286 少于A0.03571428571428571 一定量A0.017857142857142856
