	learn:jqzx.csv check xkd.csv:91:【解局】习近平高度评价周恩来，深意何在？     	 Result: 	0.356143721636089 	563 	182



  	class: 包括  	d: 9  	pt: 1.962204724409449  	diff:  包括A0.968503937007874 概括AB0.9811023622047244 席卷A0.0031496062992125984 囊括A0.007874015748031496 总括A0.0015748031496062992
  	class: 群众  	d: 6  	pt: 1.9615384615384615  	diff:  公众A0.75 大众A0.19230769230769232 民众A0.038461538461538464 群众AB0.9807692307692307
  	class: 快  	d: 27  	pt: 1.9586776859504131  	diff:  高效A0.9504132231404959 飞速A0.01652892561983471 快捷A0.008264462809917356 长足A0.004132231404958678 飞跃AB0.9793388429752066
  	class: 抛弃  	d: 27  	pt: 1.9473684210526316  	diff:  丢弃A0.5263157894736842 丢AB0.9736842105263158 丢掉A0.02631578947368421 抛弃A0.18421052631578946 抛A0.07894736842105263 撇开A0.05263157894736842 摒弃A0.02631578947368421 摈弃A0.02631578947368421 抛开A0.05263157894736842
  	class: 继续  	d: 16  	pt: 1.9333333333333336  	diff:  后续A0.5833333333333334 继承A0.38333333333333336 延续AB0.9666666666666667
  	class: 当做  	d: 9  	pt: 1.9275362318840579  	diff:  用作A0.2753623188405797 看作A0.35507246376811596 当作A0.07246376811594203 看做A0.06521739130434782 看成A0.14492753623188406 视作A0.050724637681159424 当做AB0.9637681159420289
  	class: 支配  	d: 9  	pt: 1.9024390243902438  	diff:  控制A0.8641114982578397 主宰A0.006968641114982578 操纵A0.08013937282229965 操AB0.9512195121951219
  	class: 呈现  	d: 7  	pt: 1.8964577656675752  	diff:  表现A0.8528610354223434 展现AB0.9482288828337875 呈现A0.08446866485013624 变现A0.005449591280653951 显现A0.005449591280653951
  	class: 停止  	d: 26  	pt: 1.8688524590163935  	diff:  停止A0.45901639344262296 终止A0.4262295081967213 停A0.03278688524590164 住AB0.9344262295081968 平息A0.01639344262295082
  	class: 担负  	d: 14  	pt: 1.8679245283018873  	diff:  负责A0.8867924528301887 承担AB0.44339622641509435 担当AB0.49056603773584906 负担A0.02830188679245283 顶住A0.009433962264150943 担负A0.009433962264150943
  	class: 回忆  	d: 19  	pt: 1.849056603773585  	diff:  回顾A0.8301886792452831 回溯AB0.4811320754716981 想起A0.03773584905660377 回想A0.05660377358490566 回忆AB0.44339622641509435
  	class: 活  	d: 6  	pt: 1.8461538461538463  	diff:  生存A0.9230769230769231 活着AB0.9230769230769231
  	class: 忘记  	d: 12  	pt: 1.8285714285714285  	diff:  忘记A0.2571428571428571 忘AB0.7142857142857143 遗忘A0.6571428571428571 忘本B0.2
  	class: 享受  	d: 8  	pt: 1.7872340425531914  	diff:  分享A0.8936170212765957 享受AB0.8936170212765957
  	class: 买  	d: 19  	pt: 1.7872340425531912  	diff:  市A0.06382978723404255 购买A0.6808510638297872 买AB0.8936170212765957 置A0.0425531914893617 采购A0.06382978723404255 买入A0.02127659574468085 购入A0.02127659574468085
  	class: 真实  	d: 11  	pt: 1.7777777777777777  	diff:  真实性A0.6666666666666666 实事求是AB0.8888888888888888 真格A0.2222222222222222
  	class: 世界  	d: 18  	pt: 1.7241379310344829  	diff:  全球A0.8275862068965517 全世界AB0.8620689655172413 大地A0.013793103448275862 环球A0.013793103448275862 世A0.006896551724137931
  	class: 信仰  	d: 10  	pt: 1.6842105263157894  	diff:  信仰AB0.8421052631578947 信A0.8421052631578947
