	learn:mm.csv check mm.csv:8:青春就是又羞耻又甜甜甜甜甜甜甜甜     	 Result: 	0.23651886862340155 	376 	161



  	class: 幸福  	d: 11  	pt: 1.1428571428571428  	diff:  甜AB0.10714285714285715 幸福A0.5357142857142857 甜美A0.03571428571428571 甜蜜AB0.4642857142857143
  	class: 竭力  	d: 31  	pt: 1.1111111111111112  	diff:  拼命A0.4444444444444444 用力AB0.5555555555555556 使劲A0.1111111111111111
  	class: 矮  	d: 7  	pt: 1.0  	diff:  矮AB0.5 最低A0.5
  	class: 自行车  	d: 4  	pt: 1.0  	diff:  自行车AB0.5 车子A0.5
  	class: 谈天  	d: 23  	pt: 1.0  	diff:  扯AB0.5 闲聊A0.25 扯淡A0.25
  	class: 拍手  	d: 9  	pt: 1.0  	diff:  击掌AB0.5 鼓掌A0.5
  	class: 情人  	d: 10  	pt: 0.9692307692307693  	diff:  朋友AB0.4307692307692308 恋人AB0.4846153846153846 情侣A0.046153846153846156 爱人A0.007692307692307693
  	class: 挥笔  	d: 11  	pt: 0.9565217391304348  	diff:  题AB0.4782608695652174 书A0.4782608695652174
  	class: 触  	d: 8  	pt: 0.9230769230769231  	diff:  接触AB0.46153846153846156 触A0.15384615384615385 碰A0.3076923076923077
  	class: 注意  	d: 17  	pt: 0.923076923076923  	diff:  小心AB0.46153846153846156 在意A0.19230769230769232 专注A0.23076923076923078 留意A0.038461538461538464
  	class: 资格  	d: 2  	pt: 0.9090909090909092  	diff:  资格AB0.4545454545454546 身份A0.45454545454545453
  	class: 演出  	d: 9  	pt: 0.8695652173913043  	diff:  表演A0.43478260869565216 演AB0.10869565217391303 演出AB0.32608695652173914
  	class: 男朋友  	d: 3  	pt: 0.8571428571428572  	diff:  男友A0.42857142857142855 男朋友AB0.4285714285714286
  	class: 有  	d: 28  	pt: 0.8421052631578947  	diff:  富有A0.05263157894736842 拥有AB0.42105263157894735 具备A0.3684210526315789
  	class: 穿  	d: 9  	pt: 0.7692307692307692  	diff:  穿着AB0.3846153846153846 上身A0.038461538461538464 衣A0.3076923076923077 穿衣A0.038461538461538464
  	class: 超越  	d: 9  	pt: 0.744186046511628  	diff:  超AB0.37209302325581395 跳A0.20930232558139536 超越A0.06976744186046512 跨越A0.023255813953488372 超过A0.06976744186046512
  	class: 绘画  	d: 17  	pt: 0.7142857142857142  	diff:  画AB0.3571428571428571 图案A0.2857142857142857 画图A0.07142857142857142
  	class: 睡觉  	d: 8  	pt: 0.6818181818181819  	diff:  睡AB0.34090909090909094 睡觉A0.29545454545454547 上床A0.022727272727272728 睡眠A0.022727272727272728
  	class: 害怕  	d: 50  	pt: 0.6666666666666667  	diff:  害怕AB0.33333333333333337 生怕A0.05555555555555555 恐怖A0.2777777777777778
  	class: 吵闹  	d: 9  	pt: 0.6666666666666667  	diff:  起哄AB0.33333333333333337 哭闹A0.3333333333333333
  	class: 病愈  	d: 8  	pt: 0.631578947368421  	diff:  治愈A0.3157894736842105 起床AB0.3157894736842105
  	class: 消除  	d: 43  	pt: 0.625  	diff:  破AB0.3125 脱A0.1875 散A0.0625 消A0.0625
  	class: 线  	d: 4  	pt: 0.6153846153846154  	diff:  线AB0.3076923076923077 线条A0.3076923076923077
  	class: 肩  	d: 5  	pt: 0.588235294117647  	diff:  肩膀A0.29411764705882354 肩AB0.2941176470588235
  	class: 最  	d: 21  	pt: 0.5714285714285714  	diff:  无限AB0.2857142857142857 无比A0.14285714285714285 太A0.14285714285714285
  	class: 庸俗  	d: 17  	pt: 0.5714285714285714  	diff:  无聊AB0.2857142857142857 世俗A0.14285714285714285 庸俗A0.14285714285714285
  	class: 爱  	d: 13  	pt: 0.5714285714285714  	diff:  热爱AB0.2857142857142857 心爱A0.2857142857142857
  	class: 时期  	d: 4  	pt: 0.5  	diff:  时代AB0.25 时期AB0.25
  	class: 请求  	d: 13  	pt: 0.4444444444444444  	diff:  请AB0.2222222222222222 求A0.09259259259259259 呼吁A0.1111111111111111 伸手A0.018518518518518517
  	class: 看  	d: 22  	pt: 0.42857142857142855  	diff:  见到AB0.2142857142857143 观看A0.07142857142857142 收看A0.14285714285714285
  	class: 发作  	d: 4  	pt: 0.41791044776119407  	diff:  发AB0.20895522388059706 作A0.13432835820895522 犯A0.07462686567164178
