	learn:mm.csv check mm.csv:53:你不喜欢我？那请你好好反省一下！     	 Result: 	0.20272243827248917 	462 	211



  	class: 希望  	d: 23  	pt: 0.9393939393939394  	diff:  梦想A0.21212121212121213 希望AB0.0757575757575758 期待A0.06060606060606061 期A0.030303030303030304 希A0.030303030303030304 仰望A0.030303030303030304 只求A0.015151515151515152 期望AB0.4696969696969697 指望A0.015151515151515152
  	class: 谄媚  	d: 32  	pt: 0.9166666666666669  	diff:  买好A0.16666666666666666 讨好AB0.37500000000000006 拍马屁A0.2916666666666667 取悦AB0.08333333333333333
  	class: 假装  	d: 12  	pt: 0.9090909090909092  	diff:  装AB0.4545454545454546 装作A0.045454545454545456 假装A0.4090909090909091
  	class: 贴  	d: 9  	pt: 0.8888888888888888  	diff:  粘A0.1111111111111111 糊A0.3333333333333333 贴AB0.4444444444444444
  	class: 触动  	d: 13  	pt: 0.8666666666666666  	diff:  动心A0.03333333333333333 感动AB0.43333333333333335 激动A0.13333333333333333 震撼A0.06666666666666667 触动A0.06666666666666667 触景生情A0.03333333333333333 撼动A0.03333333333333333 打动A0.06666666666666667
  	class: 挑选  	d: 26  	pt: 0.8484848484848484  	diff:  选项A0.030303030303030304 选A0.3484848484848485 选择AB0.4242424242424242 慎选A0.015151515151515152 挑选A0.030303030303030304
  	class: 脑子  	d: 12  	pt: 0.8  	diff:  脑子A0.2 脑AB0.4 心机A0.2
  	class: 油漆  	d: 7  	pt: 0.8  	diff:  油AB0.4 油漆A0.4
  	class: 一再  	d: 23  	pt: 0.75  	diff:  反复AB0.375 勤A0.25 频繁A0.125
  	class: 生命力  	d: 6  	pt: 0.75  	diff:  精力AB0.375 活力A0.375
  	class: 洗  	d: 15  	pt: 0.75  	diff:  洗洗A0.25 保洁AB0.375 澡A0.125
  	class: 超越  	d: 9  	pt: 0.744186046511628  	diff:  超AB0.37209302325581395 跳A0.20930232558139536 超越A0.06976744186046512 跨越A0.023255813953488372 超过A0.06976744186046512
  	class: 加热  	d: 6  	pt: 0.7272727272727273  	diff:  热AB0.36363636363636365 烫A0.36363636363636365
  	class: 黑心  	d: 4  	pt: 0.7142857142857142  	diff:  恶意A0.35714285714285715 恶心AB0.3571428571428571
  	class: 胃  	d: 3  	pt: 0.6666666666666667  	diff:  肚子AB0.33333333333333337 胃A0.3333333333333333
  	class: 异常  	d: 21  	pt: 0.6666666666666667  	diff:  独特A0.3333333333333333 破例AB0.33333333333333337
  	class: 唤醒  	d: 6  	pt: 0.6666666666666667  	diff:  提醒AB0.33333333333333337 提示A0.3333333333333333
  	class: 背诵  	d: 3  	pt: 0.6666666666666667  	diff:  背诵AB0.33333333333333337 背书A0.3333333333333333
  	class: 内心  	d: 28  	pt: 0.6666666666666665  	diff:  内心AB0.33333333333333337 心A0.25925925925925924 心目A0.037037037037037035 胸A0.037037037037037035
  	class: 愚笨  	d: 32  	pt: 0.6470588235294118  	diff:  傻AB0.32352941176470584 懵A0.14705882352941177 蠢A0.14705882352941177 傻气A0.029411764705882353
  	class: 游戏  	d: 24  	pt: 0.6363636363636364  	diff:  玩AB0.09090909090909094 戏AB0.3181818181818182 游戏A0.19696969696969696 玩玩A0.015151515151515152 玩耍A0.015151515151515152
  	class: 重要  	d: 29  	pt: 0.631578947368421  	diff:  关键A0.3157894736842105 重点AB0.3157894736842105
  	class: 病愈  	d: 8  	pt: 0.631578947368421  	diff:  治愈A0.3157894736842105 起床AB0.3157894736842105
  	class: 埋怨  	d: 8  	pt: 0.6000000000000001  	diff:  抱怨AB0.30000000000000004 埋怨A0.3
  	class: 改换  	d: 12  	pt: 0.5964912280701754  	diff:  换AB0.2982456140350877 变AB0.2982456140350877
  	class: 孤单  	d: 33  	pt: 0.5714285714285714  	diff:  孤单AB0.2857142857142857 孤独A0.2857142857142857
  	class: 强大  	d: 27  	pt: 0.5333333333333333  	diff:  劲A0.06666666666666667 强大AB0.2666666666666667 精A0.13333333333333333 强硬A0.06666666666666667
  	class: 高兴  	d: 50  	pt: 0.5  	diff:  快乐AB0.25 愉快A0.125 欢乐A0.0625 愉悦A0.0625
  	class: 排行  	d: 4  	pt: 0.5  	diff:  排名AB0.25 排名榜A0.25
  	class: 突发  	d: 4  	pt: 0.5  	diff:  爆发AB0.25 突发A0.25
  	class: 提倡  	d: 6  	pt: 0.5  	diff:  倡导AB0.25 发起A0.25
  	class: 喜欢  	d: 10  	pt: 0.4880239520958084  	diff:  喜欢AB0.2020958083832335 喜A0.017964071856287425 喜好A0.011976047904191617 爱好A0.011976047904191617 欢喜AB0.2440119760479042
  	class: 交  	d: 12  	pt: 0.4761904761904762  	diff:  付出AB0.23809523809523814 给出A0.09523809523809523 交给A0.14285714285714285
  	class: 眼泪  	d: 6  	pt: 0.4444444444444444  	diff:  眼泪AB0.2222222222222222 泪水A0.2222222222222222
