	learn:mm.csv check mm.csv:71:五音不全的人，如何坚强地活在这个世上     	 Result: 	0.1975129033512337 	448 	199



  	class: 害臊  	d: 17  	pt: 0.8571428571428572  	diff:  害羞A0.2857142857142857 不好意思AB0.4285714285714286 羞涩A0.14285714285714285
  	class: 做声  	d: 5  	pt: 0.8  	diff:  发声AB0.4 嚷嚷A0.4
  	class: 结束  	d: 38  	pt: 0.7901234567901234  	diff:  完AB0.3950617283950617 结束A0.14814814814814814 截止A0.09876543209876543 结A0.012345679012345678 收A0.12345679012345678 利落A0.012345679012345678
  	class: 逮捕  	d: 22  	pt: 0.7647058823529411  	diff:  捉A0.058823529411764705 抓AB0.32352941176470584 逮捕AB0.38235294117647056
  	class: 超越  	d: 9  	pt: 0.744186046511628  	diff:  超AB0.37209302325581395 跳A0.20930232558139536 超越A0.06976744186046512 跨越A0.023255813953488372 超过A0.06976744186046512
  	class: 正规  	d: 11  	pt: 0.7407407407407407  	diff:  专业AB0.37037037037037035 标准A0.3333333333333333 正规A0.037037037037037035
  	class: 有害  	d: 26  	pt: 0.7058823529411765  	diff:  害A0.11764705882352941 伤害AB0.3529411764705882 重伤A0.058823529411764705 伤A0.17647058823529413
  	class: 导致  	d: 9  	pt: 0.7  	diff:  招AB0.35 导致A0.35
  	class: 躲藏  	d: 27  	pt: 0.6666666666666667  	diff:  隐形A0.3333333333333333 躲AB0.33333333333333337
  	class: 梦幻  	d: 9  	pt: 0.6666666666666667  	diff:  梦AB0.33333333333333337 梦幻A0.3333333333333333
  	class: 相关  	d: 15  	pt: 0.6666666666666667  	diff:  相关AB0.33333333333333337 系A0.3333333333333333
  	class: 不安  	d: 29  	pt: 0.6666666666666667  	diff:  忐忑A0.3333333333333333 紧张AB0.33333333333333337
  	class: 合格  	d: 7  	pt: 0.6666666666666667  	diff:  合格A0.3333333333333333 过关AB0.33333333333333337
  	class: 发光  	d: 3  	pt: 0.6666666666666667  	diff:  发亮A0.3333333333333333 发光AB0.33333333333333337
  	class: 关怀  	d: 10  	pt: 0.6666666666666666  	diff:  关注AB0.33333333333333337 关心A0.23333333333333334 关爱A0.03333333333333333 体贴A0.06666666666666667
  	class: 内心  	d: 28  	pt: 0.6666666666666665  	diff:  内心AB0.33333333333333337 心A0.25925925925925924 心目A0.037037037037037035 胸A0.037037037037037035
