	learn:mm.csv check mm.csv:63:有话好好说，bú yào say English     	 Result: 	0.23842154148813804 	398 	183



  	class: 拍手  	d: 9  	pt: 1.0  	diff:  击掌A0.5 鼓掌AB0.5
  	class: 采集  	d: 18  	pt: 1.0  	diff:  收集A0.08823529411764706 征集A0.4117647058823529 采访AB0.5
  	class: 禁止  	d: 8  	pt: 1.0  	diff:  不准A0.5 禁止AB0.5
  	class: 布置  	d: 8  	pt: 0.9999999999999999  	diff:  摆AB0.5 摆设A0.3333333333333333 摆放A0.16666666666666666
  	class: 唱歌  	d: 5  	pt: 0.9275362318840579  	diff:  唱AB0.46376811594202894 唱歌A0.37681159420289856 歌A0.08695652173913043
  	class: 讲课  	d: 13  	pt: 0.9230769230769231  	diff:  上课A0.38461538461538464 教授AB0.46153846153846156 教书A0.07692307692307693
  	class: 假装  	d: 12  	pt: 0.9090909090909092  	diff:  装AB0.4545454545454546 装作A0.045454545454545456 假装A0.4090909090909091
  	class: 任意  	d: 17  	pt: 0.9090909090909092  	diff:  自由AB0.4545454545454546 轻易A0.36363636363636365 任性A0.09090909090909091
  	class: 男朋友  	d: 3  	pt: 0.8571428571428572  	diff:  男友A0.42857142857142855 男朋友AB0.4285714285714286
  	class: 发作  	d: 4  	pt: 0.8507462686567164  	diff:  发AB0.29104477611940294 作A0.13432835820895522 犯AB0.4253731343283582
  	class: 有趣  	d: 17  	pt: 0.8333333333333333  	diff:  有趣AB0.41666666666666663 好玩A0.4166666666666667
  	class: 到  	d: 6  	pt: 0.8235294117647058  	diff:  顶A0.4117647058823529 交AB0.4117647058823529
  	class: 游戏  	d: 24  	pt: 0.8181818181818181  	diff:  玩AB0.40909090909090906 戏A0.18181818181818182 游戏A0.19696969696969696 玩玩A0.015151515151515152 玩耍A0.015151515151515152
  	class: 酒店  	d: 9  	pt: 0.8  	diff:  酒店AB0.4 酒吧AB0.4
  	class: 一再  	d: 23  	pt: 0.75  	diff:  反复AB0.375 勤A0.25 频繁A0.125
  	class: 超越  	d: 9  	pt: 0.744186046511628  	diff:  超AB0.37209302325581395 跳A0.20930232558139536 超越A0.06976744186046512 跨越A0.023255813953488372 超过A0.06976744186046512
  	class: 音信  	d: 7  	pt: 0.6956521739130435  	diff:  消息A0.34782608695652173 信息AB0.34782608695652173
  	class: 老人  	d: 14  	pt: 0.6666666666666667  	diff:  老年人AB0.33333333333333337 老头儿A0.3333333333333333
  	class: 傻子  	d: 8  	pt: 0.6666666666666667  	diff:  傻子AB0.33333333333333337 傻瓜A0.3333333333333333
  	class: 电影  	d: 4  	pt: 0.6666666666666667  	diff:  电影AB0.33333333333333337 影视A0.3333333333333333
  	class: 场所  	d: 7  	pt: 0.6666666666666667  	diff:  场合AB0.33333333333333337 场所A0.3333333333333333
  	class: 腐烂  	d: 7  	pt: 0.6666666666666667  	diff:  烂AB0.33333333333333337 腐朽A0.1111111111111111 腐A0.2222222222222222
  	class: 瓶  	d: 2  	pt: 0.6666666666666666  	diff:  瓶AB0.3333333333333333 瓶子AB0.3333333333333333
  	class: 回忆  	d: 19  	pt: 0.6363636363636365  	diff:  回忆A0.22727272727272727 想起AB0.31818181818181823 回想A0.09090909090909091
  	class: 魂  	d: 6  	pt: 0.6000000000000001  	diff:  灵魂AB0.30000000000000004 魂AB0.3
