	learn:mm.csv check mm.csv:25:“我的4岁孩子，被烫得血肉模糊”     	 Result: 	0.2353349930541658 	345 	158



  	class: 希望  	d: 23  	pt: 0.8484848484848484  	diff:  梦想A0.21212121212121213 希望AB0.4242424242424242 期待A0.06060606060606061 期A0.030303030303030304 希A0.030303030303030304 仰望A0.030303030303030304 只求A0.015151515151515152 期望A0.030303030303030304 指望A0.015151515151515152
  	class: 游戏  	d: 24  	pt: 0.8181818181818181  	diff:  玩AB0.40909090909090906 戏A0.18181818181818182 游戏A0.19696969696969696 玩玩A0.015151515151515152 玩耍A0.015151515151515152
  	class: 请求  	d: 13  	pt: 0.7777777777777778  	diff:  请AB0.2777777777777778 求A0.09259259259259259 呼吁AB0.3888888888888889 伸手A0.018518518518518517
  	class: 资本  	d: 12  	pt: 0.75  	diff:  资本A0.25 成本AB0.375 基金A0.125
  	class: 怀疑  	d: 19  	pt: 0.7272727272727274  	diff:  怀疑AB0.36363636363636365 多心A0.09090909090909091 打结A0.18181818181818182 猜忌A0.09090909090909091
  	class: 发生  	d: 8  	pt: 0.7200000000000001  	diff:  发生AB0.36 发出A0.2 闹A0.16
  	class: 捆  	d: 15  	pt: 0.6666666666666667  	diff:  包扎AB0.33333333333333337 箍A0.3333333333333333
  	class: 水平  	d: 5  	pt: 0.6666666666666667  	diff:  程度AB0.33333333333333337 水平A0.13333333333333333 品位A0.2
  	class: 害怕  	d: 50  	pt: 0.6666666666666667  	diff:  害怕AB0.33333333333333337 生怕A0.05555555555555555 恐怖A0.2777777777777778
  	class: 求助  	d: 6  	pt: 0.6666666666666667  	diff:  求救A0.3333333333333333 求助AB0.33333333333333337
  	class: 关怀  	d: 10  	pt: 0.6666666666666666  	diff:  关注AB0.33333333333333337 关心A0.23333333333333334 关爱A0.03333333333333333 体贴A0.06666666666666667
  	class: 猛烈  	d: 19  	pt: 0.6206896551724137  	diff:  剧A0.2413793103448276 火爆A0.034482758620689655 腾腾AB0.31034482758620685 激烈A0.034482758620689655
  	class: 儿童  	d: 31  	pt: 0.6190476190476191  	diff:  儿童AB0.30952380952380953 小孩AB0.0714285714285714 幼儿A0.047619047619047616 娃娃A0.047619047619047616 小朋友A0.14285714285714285
  	class: 粗暴  	d: 14  	pt: 0.5263157894736843  	diff:  强行AB0.26315789473684215 粗暴A0.15789473684210525 野A0.05263157894736842 粗鲁A0.05263157894736842
  	class: 拖延  	d: 10  	pt: 0.5  	diff:  拖AB0.25 拖延A0.25
  	class: 果皮筒  	d: 4  	pt: 0.5  	diff:  垃圾桶AB0.25 垃圾箱A0.25
  	class: 提  	d: 2  	pt: 0.5  	diff:  拎AB0.25 提起A0.25
  	class: 处罚  	d: 8  	pt: 0.5  	diff:  处罚AB0.25 罚A0.25
  	class: 父  	d: 15  	pt: 0.4782608695652174  	diff:  老子AB0.19565217391304346 爸AB0.043478260869565244 爸爸A0.2391304347826087
  	class: 交  	d: 12  	pt: 0.4761904761904762  	diff:  付出AB0.23809523809523814 给出A0.09523809523809523 交给A0.14285714285714285
  	class: 眼泪  	d: 6  	pt: 0.4444444444444444  	diff:  眼泪AB0.2222222222222222 泪水A0.2222222222222222
  	class: 痛  	d: 8  	pt: 0.4285714285714286  	diff:  痛AB0.2142857142857143 疼AB0.2142857142857143
  	class: 动火  	d: 24  	pt: 0.41176470588235303  	diff:  生气AB0.20588235294117652 火A0.14705882352941177 上火A0.029411764705882353 发脾气A0.029411764705882353
  	class: 顽皮  	d: 5  	pt: 0.41025641025641024  	diff:  调皮AB0.20512820512820507 皮AB0.12820512820512825 顽皮A0.07692307692307693
  	class: 开水  	d: 7  	pt: 0.39999999999999997  	diff:  开水AB0.19999999999999996 热水A0.2
  	class: 仍  	d: 17  	pt: 0.39999999999999997  	diff:  拽AB0.19999999999999996 扔掉A0.2
  	class: 全身  	d: 6  	pt: 0.33333333333333337  	diff:  浑身AB0.06666666666666671 全身AB0.16666666666666663 满身A0.1
  	class: 陪伴  	d: 7  	pt: 0.27777777777777773  	diff:  陪AB0.13888888888888884 陪伴A0.1388888888888889
  	class: 眼  	d: 7  	pt: 0.2727272727272727  	diff:  眼睛AB0.13636363636363635 眼A0.13636363636363635
  	class: 答应  	d: 10  	pt: 0.2666666666666666  	diff:  答应AB0.1333333333333333 承诺A0.06666666666666667 应A0.06666666666666667
  	class: 答  	d: 14  	pt: 0.2666666666666666  	diff:  回答AB0.1333333333333333 答对A0.03333333333333333 回应A0.06666666666666667 应对A0.03333333333333333
  	class: 模仿  	d: 27  	pt: 0.1538461538461538  	diff:  学AB0.07692307692307687 模拟A0.038461538461538464 套A0.038461538461538464
  	class: 包括  	d: 9  	pt: 0.1538461538461538  	diff:  包括AB0.07692307692307687 概括A0.07692307692307693
  	class: 分开  	d: 13  	pt: 0.14285714285714282  	diff:  分AB0.0714285714285714 细分A0.07142857142857142
  	class: 情况  	d: 8  	pt: 0.125  	diff:  情况AB0.0625 图景A0.0625
  	class: 表达  	d: 5  	pt: 0.10000000000000005  	diff:  表达AB0.050000000000000044 发挥A0.05
  	class: 教师  	d: 16  	pt: 0.0769230769230769  	diff:  老师AB0.038461538461538436 导师A0.038461538461538464
  	class: 赠送  	d: 13  	pt: 0.055555555555555566  	diff:  送AB0.02777777777777779 赠A0.027777777777777776
  	class: 描写  	d: 12  	pt: 0.054054054054054  	diff:  写AB0.027027027027026973 形容A0.02702702702702703
  	class: 子女  	d: 7  	pt: 0.03952569169960474  	diff:  孩子AB0.01976284584980237 儿女A0.003952569169960474 子女A0.007905138339920948 男女A0.007905138339920948
  	class: 母  	d: 10  	pt: 0.014598540145985392  	diff:  妈AB0.007299270072992692 母亲A0.0072992700729927005
  	class: 怀念  	d: 21  	pt: 0.010101010101010135  	diff:  想AB0.005050505050505083 纪念A0.0025252525252525255 想念A0.0025252525252525255
