	learn:mm.csv check mm.csv:22:我是如何一秒内决定做他女朋友的！！     	 Result: 	0.2120638399007205 	207 	96



  	class: 眼  	d: 7  	pt: 0.2727272727272727  	diff:  眼睛AB0.13636363636363635 眼A0.13636363636363635
  	class: 面子  	d: 5  	pt: 0.19999999999999993  	diff:  脸AB0.07777777777777772 颜AB0.09999999999999999 面子A0.022222222222222223
  	class: 感到  	d: 7  	pt: 0.19512195121951217  	diff:  感觉AB0.09756097560975607 感到A0.07317073170731707 深感A0.024390243902439025
  	class: 寻找  	d: 23  	pt: 0.17307692307692313  	diff:  找AB0.08653846153846156 摸A0.038461538461538464 搜索A0.019230769230769232 寻找A0.028846153846153848
  	class: 情人  	d: 10  	pt: 0.13846153846153844  	diff:  朋友AB0.0692307692307692 恋人A0.015384615384615385 情侣A0.046153846153846156 爱人A0.007692307692307693
  	class: 男  	d: 3  	pt: 0.09090909090909087  	diff:  男AB0.045454545454545414 男性A0.045454545454545456
  	class: 查阅  	d: 6  	pt: 0.05882352941176471  	diff:  查看AB0.02941176470588236 查A0.029411764705882353
  	class: 图  	d: 6  	pt: 0.05714285714285715  	diff:  图片AB0.02857142857142858 图样A0.02857142857142857
  	class: 难堪  	d: 3  	pt: 0.04000000000000002  	diff:  好看AB0.020000000000000018 难堪A0.02
  	class: 老板  	d: 5  	pt: 0.02352941176470584  	diff:  老板AB0.0117647058823529 老板娘A0.011764705882352941
  	class: 怀念  	d: 21  	pt: 0.010101010101010135  	diff:  想AB0.005050505050505083 纪念A0.0025252525252525255 想念A0.0025252525252525255
