	learn:mm.csv check mm.csv:74:你上班5天了，我还在北海道看雪雪雪雪雪     	 Result: 	0.19288847236224038 	461 	219



  	class: 父  	d: 15  	pt: 0.9130434782608696  	diff:  老子AB0.19565217391304346 爸A0.45652173913043476 爸爸AB0.2608695652173913
  	class: 爆裂  	d: 7  	pt: 0.9090909090909092  	diff:  崩A0.18181818181818182 炸A0.2727272727272727 爆AB0.4545454545454546
  	class: 贴  	d: 9  	pt: 0.8888888888888888  	diff:  粘A0.1111111111111111 糊A0.3333333333333333 贴AB0.4444444444444444
  	class: 了解  	d: 29  	pt: 0.8888888888888888  	diff:  懂AB0.4444444444444444 理解A0.2962962962962963 懂得A0.1111111111111111 了了A0.037037037037037035
  	class: 下跪  	d: 6  	pt: 0.8571428571428572  	diff:  跪AB0.2142857142857143 下跪A0.14285714285714285 跪下A0.07142857142857142 跪倒AB0.4285714285714286
  	class: 分成  	d: 2  	pt: 0.8571428571428572  	diff:  分为AB0.4285714285714286 分成A0.42857142857142855
  	class: 结束  	d: 38  	pt: 0.7901234567901234  	diff:  完AB0.3950617283950617 结束A0.14814814814814814 截止A0.09876543209876543 结A0.012345679012345678 收A0.12345679012345678 利落A0.012345679012345678
  	class: 堆  	d: 7  	pt: 0.75  	diff:  码A0.375 坨AB0.375
  	class: 加热  	d: 6  	pt: 0.7272727272727273  	diff:  热AB0.36363636363636365 烫A0.36363636363636365
  	class: 非常  	d: 47  	pt: 0.719047619047619  	diff:  不行AB0.06904761904761905 死AB0.02619047619047621 坏A0.13333333333333333 生AB0.04999999999999999 杀A0.0761904761904762 要命A0.02857142857142857 深A0.01904761904761905 可怜A0.0380952380952381 挺A0.01904761904761905 稀A0.009523809523809525 绷A0.009523809523809525 够呛AB0.24047619047619048
  	class: 正确  	d: 18  	pt: 0.7142857142857142  	diff:  不错A0.35714285714285715 没错AB0.17857142857142855 科学AB0.17857142857142855
  	class: 相等  	d: 11  	pt: 0.6666666666666667  	diff:  等于A0.3333333333333333 相当于AB0.33333333333333337
