learn:dsjwz.csv check jqzx.csv:20:深度 | 吴恩达对话Yann LeCun：从相识Hinton到深度学习崛起 	 Result: 	0.18332576445971724 	888 	284
  	class: 返回  	d: 7  	pt: 1.3947368421052633  	diff:  返回A0.5789473684210527 回到AB0.6973684210526316 回去A0.02631578947368421 回来A0.07894736842105263 归来A0.013157894736842105
  	class: 有利  	d: 16  	pt: 1.368421052631579  	diff:  有益A0.05263157894736842 造福A0.13157894736842105 利于A0.02631578947368421 便民A0.02631578947368421 便利A0.34210526315789475 有利于A0.10526315789473684 便宜AB0.6842105263157895
  	class: 放大  	d: 8  	pt: 1.358490566037736  	diff:  放大AB0.679245283018868 推广A0.49056603773584906 加大A0.03773584905660377 放开A0.018867924528301886 放A0.1320754716981132
  	class: 任意  	d: 17  	pt: 1.3333333333333335  	diff:  任意A0.5 自由AB0.6666666666666667 轻易A0.16666666666666666
  	class: 沉迷  	d: 16  	pt: 1.3333333333333333  	diff:  痴迷AB0.6666666666666667 着迷A0.3333333333333333 迷A0.3333333333333333
  	class: 领导  	d: 14  	pt: 1.326086956521739  	diff:  领导A0.2391304347826087 负责人AB0.6630434782608696 领导者A0.13043478260869565 企业主A0.010869565217391304 官员A0.043478260869565216 决策者A0.05434782608695652 管理者A0.18478260869565216
  	class: 依靠  	d: 32  	pt: 1.3258426966292138  	diff:  借助A0.20224719101123595 依赖A0.2808988764044944 指AB0.6629213483146068 仰A0.011235955056179775 负A0.10112359550561797 依赖性A0.02247191011235955 借助于A0.02247191011235955 倚重A0.011235955056179775 仗A0.011235955056179775
  	class: 减少  	d: 22  	pt: 1.3199999999999998  	diff:  减少A0.58 压缩AB0.6599999999999999 减小A0.03 削减A0.04 缩减A0.01
  	class: 可以  	d: 7  	pt: 1.3043478260869565  	diff:  得以AB0.6521739130434783 足以A0.6521739130434783
  	class: 合并  	d: 24  	pt: 1.2682926829268295  	diff:  并入A0.024390243902439025 合并AB0.6341463414634146 集成A0.5365853658536586 联结A0.024390243902439025 联A0.024390243902439025 拼A0.024390243902439025
  	class: 恰巧  	d: 21  	pt: 1.25  	diff:  正好AB0.625 正A0.5 正要A0.125
  	class: 设立  	d: 6  	pt: 1.2363636363636363  	diff:  举办AB0.6181818181818182 开设A0.43636363636363634 设立A0.18181818181818182
  	class: 消失  	d: 45  	pt: 1.2222222222222223  	diff:  消退A0.027777777777777776 消失AB0.6111111111111112 收敛A0.4444444444444444 流失A0.1111111111111111 熄灭A0.027777777777777776
  	class: 水平  	d: 5  	pt: 1.219512195121951  	diff:  程度A0.5934959349593496 水平AB0.6097560975609756 水准A0.008130081300813009 品位A0.008130081300813009
