	learn:mm.csv check mm.csv:39:帅，才是男人最好的嫁妆！     	 Result: 	0.20100988053844185 	459 	199



  	class: 饭  	d: 5  	pt: 0.9090909090909092  	diff:  米饭A0.45454545454545453 饭AB0.4545454545454546
  	class: 富裕  	d: 38  	pt: 0.8800000000000001  	diff:  有钱AB0.43999999999999995 宽A0.28 充盈A0.04 富贵A0.04 富足A0.04 富A0.04
  	class: 欺负  	d: 14  	pt: 0.8799999999999999  	diff:  气AB0.43999999999999995 欺负A0.44
  	class: 消除  	d: 43  	pt: 0.875  	diff:  破AB0.1875 脱A0.1875 散A0.0625 消AB0.4375
  	class: 儿童  	d: 31  	pt: 0.8571428571428572  	diff:  儿童A0.19047619047619047 小孩AB0.4285714285714286 幼儿A0.047619047619047616 娃娃A0.047619047619047616 小朋友A0.14285714285714285
  	class: 调养  	d: 11  	pt: 0.8571428571428572  	diff:  养生AB0.4285714285714286 保养A0.42857142857142855
  	class: 独自  	d: 9  	pt: 0.8571428571428572  	diff:  单身A0.35714285714285715 独立AB0.4285714285714286 独门A0.07142857142857142
  	class: 调和  	d: 4  	pt: 0.8571428571428572  	diff:  协调A0.42857142857142855 和谐AB0.4285714285714286
  	class: 赚  	d: 16  	pt: 0.8518518518518519  	diff:  赚AB0.425925925925926 赚钱AB0.018518518518518517 挣A0.2222222222222222 挣钱A0.18518518518518517
  	class: 希望  	d: 23  	pt: 0.8484848484848484  	diff:  梦想A0.21212121212121213 希望AB0.4242424242424242 期待A0.06060606060606061 期A0.030303030303030304 希A0.030303030303030304 仰望A0.030303030303030304 只求A0.015151515151515152 期望A0.030303030303030304 指望A0.015151515151515152
  	class: 妻  	d: 19  	pt: 0.826086956521739  	diff:  老婆A0.21739130434782608 女人AB0.4130434782608695 妻子A0.021739130434782608 太太A0.13043478260869565 夫人A0.043478260869565216
  	class: 到  	d: 6  	pt: 0.8235294117647058  	diff:  顶A0.4117647058823529 交AB0.4117647058823529
  	class: 肤浅  	d: 11  	pt: 0.8  	diff:  肤浅AB0.4 浅A0.4
  	class: 穿  	d: 9  	pt: 0.7692307692307692  	diff:  穿着AB0.3846153846153846 上身A0.038461538461538464 衣A0.3076923076923077 穿衣A0.038461538461538464
  	class: 有害  	d: 26  	pt: 0.7647058823529412  	diff:  害AB0.38235294117647056 伤害AB0.1470588235294118 重伤A0.058823529411764705 伤A0.17647058823529413
  	class: 疲倦  	d: 32  	pt: 0.75  	diff:  困A0.125 懒AB0.375 累死A0.125 疲惫A0.125
  	class: 非常  	d: 47  	pt: 0.7380952380952381  	diff:  不行AB0.06904761904761905 死AB0.02619047619047621 坏A0.13333333333333333 生AB0.3 杀A0.0761904761904762 要命A0.02857142857142857 深A0.01904761904761905 可怜A0.0380952380952381 挺A0.01904761904761905 稀A0.009523809523809525 绷A0.009523809523809525 够呛A0.009523809523809525
  	class: 女  	d: 11  	pt: 0.6909090909090909  	diff:  女性AB0.1333333333333333 女A0.09090909090909091 女儿AB0.3454545454545455 丫A0.030303030303030304 姑娘A0.09090909090909091
  	class: 好歹  	d: 5  	pt: 0.6666666666666667  	diff:  不顾A0.3333333333333333 好歹AB0.33333333333333337
  	class: 欣赏  	d: 11  	pt: 0.6666666666666667  	diff:  欣赏AB0.33333333333333337 赏A0.3333333333333333
  	class: 唤醒  	d: 6  	pt: 0.6666666666666667  	diff:  提醒AB0.33333333333333337 提示A0.3333333333333333
  	class: 头等  	d: 11  	pt: 0.6666666666666666  	diff:  顶级AB0.33333333333333337 世界级A0.16666666666666666 一流A0.16666666666666666
  	class: 愚笨  	d: 32  	pt: 0.6470588235294118  	diff:  傻AB0.32352941176470584 懵A0.14705882352941177 蠢A0.14705882352941177 傻气A0.029411764705882353
  	class: 翻译  	d: 5  	pt: 0.6153846153846154  	diff:  翻译A0.3076923076923077 翻AB0.3076923076923077
  	class: 照射  	d: 10  	pt: 0.6153846153846153  	diff:  投射A0.038461538461538464 炫耀AB0.3076923076923077 投A0.23076923076923078 照射A0.038461538461538464
  	class: 睡觉  	d: 8  	pt: 0.5909090909090908  	diff:  睡AB0.007575757575757569 睡觉A0.29545454545454547 上床AB0.14393939393939392 睡眠AB0.14393939393939392
  	class: 庸俗  	d: 17  	pt: 0.5714285714285714  	diff:  无聊AB0.2857142857142857 世俗A0.14285714285714285 庸俗A0.14285714285714285
  	class: 痛  	d: 8  	pt: 0.5714285714285714  	diff:  痛A0.2857142857142857 疼AB0.2857142857142857
  	class: 忘记  	d: 12  	pt: 0.5555555555555556  	diff:  忘AB0.2777777777777778 忘记A0.2777777777777778
  	class: 做饭  	d: 4  	pt: 0.5454545454545454  	diff:  做饭AB0.2727272727272727 下厨A0.2727272727272727
  	class: 面子  	d: 5  	pt: 0.5333333333333333  	diff:  脸AB0.24444444444444446 颜AB0.26666666666666666 面子A0.022222222222222223
  	class: 强大  	d: 27  	pt: 0.5333333333333333  	diff:  劲A0.06666666666666667 强大AB0.2666666666666667 精A0.13333333333333333 强硬A0.06666666666666667
  	class: 开始  	d: 24  	pt: 0.5263157894736842  	diff:  开AB0.26315789473684215 开头A0.23684210526315788 初始A0.02631578947368421
  	class: 需要  	d: 11  	pt: 0.5  	diff:  需A0.25 需求AB0.25
  	class: 轰  	d: 6  	pt: 0.5  	diff:  咆哮A0.25 吼AB0.25
  	class: 能力  	d: 3  	pt: 0.4615384615384615  	diff:  力A0.2 能力AB0.23076923076923073 力量A0.03076923076923077
  	class: 争吵  	d: 12  	pt: 0.4545454545454546  	diff:  吵架AB0.2272727272727273 吵A0.18181818181818182 抬杠A0.045454545454545456
  	class: 涉及  	d: 14  	pt: 0.41818181818181815  	diff:  关系AB0.009090909090909038 干AB0.2090909090909091 提到A0.18181818181818182 涉及A0.01818181818181818
  	class: 动火  	d: 24  	pt: 0.41176470588235303  	diff:  生气AB0.20588235294117652 火A0.14705882352941177 上火A0.029411764705882353 发脾气A0.029411764705882353
  	class: 手段  	d: 9  	pt: 0.39999999999999997  	diff:  手腕A0.2 手段AB0.19999999999999996
  	class: 险些  	d: 4  	pt: 0.39999999999999997  	diff:  差点AB0.19999999999999996 险A0.2
  	class: 储蓄  	d: 6  	pt: 0.39999999999999997  	diff:  攒AB0.19999999999999996 存款A0.2
  	class: 付费  	d: 2  	pt: 0.39999999999999997  	diff:  付费AB0.19999999999999996 付钱A0.2
  	class: 担心  	d: 10  	pt: 0.375  	diff:  担心AB0.1875 顾虑A0.1875
  	class: 稍微  	d: 24  	pt: 0.33333333333333326  	diff:  略带A0.16666666666666666 微AB0.16666666666666663
  	class: 制止  	d: 10  	pt: 0.33333333333333326  	diff:  挫AB0.16666666666666663 扼杀A0.08333333333333333 制止A0.08333333333333333
  	class: 智慧  	d: 4  	pt: 0.33333333333333326  	diff:  智商AB0.16666666666666663 智力A0.16666666666666666
  	class: 建议  	d: 8  	pt: 0.31578947368421056  	diff:  建议AB0.1578947368421053 提案A0.05263157894736842 提议A0.10526315789473684
  	class: 悲惨  	d: 13  	pt: 0.3076923076923077  	diff:  惨AB0.15384615384615385 无助A0.15384615384615385
  	class: 胜于  	d: 13  	pt: 0.29743589743589743  	diff:  强AB0.1487179487179487 高AB0.14871794871794874
  	class: 可憎  	d: 12  	pt: 0.28571428571428575  	diff:  丑AB0.1428571428571429 该死A0.09523809523809523 烦人A0.047619047619047616
  	class: 冷却  	d: 5  	pt: 0.25  	diff:  冷AB0.125 凉A0.125
  	class: 简单  	d: 21  	pt: 0.23529411764705888  	diff:  简单AB0.11764705882352944 简单易行A0.029411764705882353 简A0.08823529411764706
  	class: 前人  	d: 6  	pt: 0.22222222222222227  	diff:  前任AB0.11111111111111116 过来人A0.1111111111111111
  	class: 身体  	d: 15  	pt: 0.22222222222222227  	diff:  身体AB0.11111111111111116 身子A0.05555555555555555 身躯A0.05555555555555555
  	class: 解决  	d: 9  	pt: 0.19999999999999998  	diff:  解决AB0.09999999999999998 缓解A0.1
  	class: 寻找  	d: 23  	pt: 0.17307692307692313  	diff:  找AB0.08653846153846156 摸A0.038461538461538464 搜索A0.019230769230769232 寻找A0.028846153846153848
  	class: 觉察  	d: 6  	pt: 0.1720430107526882  	diff:  发现AB0.08602150537634412 意识A0.06451612903225806 察觉A0.021505376344086023
  	class: 悟出  	d: 5  	pt: 0.16666666666666669  	diff:  想到AB0.08333333333333337 想开A0.08333333333333333
  	class: 禁不住  	d: 10  	pt: 0.14285714285714282  	diff:  忍不住AB0.0714285714285714 撑不住A0.07142857142857142
  	class: 情人  	d: 10  	pt: 0.13846153846153844  	diff:  朋友AB0.0692307692307692 恋人A0.015384615384615385 情侣A0.046153846153846156 爱人A0.007692307692307693
  	class: 结婚  	d: 11  	pt: 0.12903225806451618  	diff:  结婚AB0.06451612903225812 婚A0.06451612903225806
  	class: 裤腰  	d: 3  	pt: 0.125  	diff:  腰AB0.0625 腰身A0.0625
  	class: 喜欢  	d: 10  	pt: 0.09580838323353298  	diff:  喜欢AB0.04790419161676651 喜A0.017964071856287425 喜好A0.011976047904191617 爱好A0.011976047904191617 欢喜A0.005988023952095809
  	class: 逼近  	d: 8  	pt: 0.08163265306122452  	diff:  逼AB0.04081632653061229 薄A0.04081632653061224
  	class: 腿  	d: 3  	pt: 0.08000000000000004  	diff:  腿AB0.040000000000000036 下肢A0.04
  	class: 增长  	d: 6  	pt: 0.08000000000000004  	diff:  添加A0.04 长AB0.040000000000000036
  	class: 爱情  	d: 8  	pt: 0.07407407407407413  	diff:  爱情AB0.03703703703703709 旧情A0.037037037037037035
  	class: 夫  	d: 6  	pt: 0.07272727272727274  	diff:  男人AB0.036363636363636376 汉子A0.03636363636363636
  	class: 买  	d: 19  	pt: 0.06106870229007638  	diff:  买AB0.03053435114503822 购买A0.015267175572519083 购A0.007633587786259542 采购A0.007633587786259542
  	class: 难堪  	d: 3  	pt: 0.04000000000000002  	diff:  好看AB0.020000000000000018 难堪A0.02
  	class: 话  	d: 6  	pt: 0.03333333333333338  	diff:  话AB0.01666666666666672 话语A0.016666666666666666
  	class: 移动  	d: 12  	pt: 0.03333333333333338  	diff:  走AB0.01666666666666672 挪动A0.016666666666666666
  	class: 问  	d: 10  	pt: 0.031007751937984523  	diff:  问AB0.015503875968992276 提问A0.015503875968992248
  	class: 商店  	d: 24  	pt: 0.024999999999999956  	diff:  公司AB0.012499999999999956 企业A0.0125
  	class: 老板  	d: 5  	pt: 0.02352941176470584  	diff:  老板AB0.0117647058823529 老板娘A0.011764705882352941
  	class: 怀念  	d: 21  	pt: 0.010101010101010135  	diff:  想AB0.005050505050505083 纪念A0.0025252525252525255 想念A0.0025252525252525255
